"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0424540540868361,-0.0685060957742455,0.0248125175457332,0.0149246489703909,-0.00150933552049128,0.0337379008181427,0.00260973222142305,-0.0400197109361936,0.000889999849941516,0.00398467789557158,-0.0261994125012634,0.00125669085921597,-0.019761313322409,0.00753505441812012,-0.108698710799217,0.0246037148692015,0.174,0.363,0.094,15838,0.536,0.045,0.598,0.38,0.4562,1.3916392,33.4,0.123452544704264,-0.0191710963394982,0.313969095826748
"2",-0.04245406175632,0.0154913778909354,-0.00313827226582566,0.0100892252408824,0.00475452774960889,0.0254844435388957,-0.000959286883523552,-0.0263854179634298,0.0114692085483438,0.00295420209425308,-0.0124569798951793,0.0176987750486616,-0.0134939435106432,0.0263040191479556,0.0153578128665686,0.154281496062992,0.205,0.472,0.055,24225,0.477,0.055,0.533,0.184,0.4257,1.1241543,31.2,0.0995308310991957,0.0901804491892593,0.313969095826748
"3",-0.0424540644894653,0.00301578269357945,-0.0727131598193029,0.0117603709112439,-0.00604824232732339,0.0123838710098679,0.0113174876993502,0.0158276312109831,0.00213953963014726,-0.00165993517252449,0.0115269564986411,0.0160832678043791,0.073555059765956,0.0163420759426165,0.0510766394436359,0.217835958273676,0.308,0.478,0.016,27374,0.492,0.178,0.504,0.156,0.4953,0.8137702,16.3,0.185437401781037,-0.0205746165288372,0.313969095826748
"4",-0.0424540629185655,0.0207569762010983,-0.0784671317973297,0.00601764082339526,0.0108467839445859,0.0357690554571504,0.00952977317055088,0.00884685122538203,-0.00341470734052725,0.000795165237194605,-0.00519668027805678,-0.00129405105985317,-0.0185539652753563,0.0209937852041821,-0.0358245708048344,0.0750563063063063,0.253,0.492,0.052,24487,0.492,0.13,0.467,0.164,0.4367,1.761956,28.4,0.104529135597901,-0.0103892904856635,0.313969095826748
"5",-0.0424540602233828,0.00562279279420495,-0.0841648726526056,0.00338351496850847,0.00774554410625904,-0.070849828381774,0.00509977622066583,0.00970759681322666,0.00463968869748901,0.000203384414476482,0.0460791684884864,0.0225786854328299,-0.0161405112687481,0.0136555671289131,-0.0948935598134995,0.238722786647315,0.242,0.454,0.066,30129,0.542,0.17,0.485,0.176,0.5271,1.2099861,30,0.18546042003231,-0.165409014828503,0.313969095826748
"6",-0.0424540593069074,-0.00415444561014245,0.0138350091965465,0.00846262718105625,0.00863793216001472,0.0474258614651081,0.00383739646129735,0.00996167339606615,0.000417775106856084,0.00206301555086692,-0.00510584894691147,-0.00598595606131904,0.00218077397305869,0.0155546845228916,0.0546764321625233,0.286550993483389,0.175,0.489,0.056,20902,0.53,0.18,0.496,0.207,0.4497,1.4965138,24.3,0.116803710731604,0.125992518673435,0.313969095826748
"7",-0.042454055720772,0.00937868386124912,0.00901273251124103,0.0143458472012113,-0.00107864281489143,0.0419622638683255,0.00444293713863511,0.00743814654094875,0.00672788406229338,0.00108490781584048,-0.00781131723631498,0.0206318625185877,-0.014965547869032,-0.00126792041584488,0.0474477708339691,0.906549520766773,0.176,0.5,0.097,17637,0.665,0.22,0.539,0.228,0.435,0.79385155,27.8,0.215829027712541,0.121707006135679,0.313969095826748
"8",-0.042454054786665,-0.0173358669837938,0.0329089216762647,0.0183928371571833,0.0134366184771124,0.0326016058736191,0.0033494921824193,0.00514439215871526,0.00192148114102466,0.00836382855443543,-0.00573210600567572,-0.00286273215580965,-0.00276126802071892,0.00529825291593858,0.0502713918685913,0.410672893962982,0.143,0.401,0.032,17280,0.555,0.145,0.513,0.149,0.4299,1.7350568,23.4,0.123229237979883,-0.0146741136357948,0.313969095826748
"9",-0.0424540600461134,-0.0156912489732061,0.0128633963804807,-0.00680357368199571,0.0133401764402557,0.013574703904576,0.00310002288720303,0.00735696043538379,0.0053072273118964,0.00238829287391862,0.00860300961866137,-0.00450857579986036,7.93816961311625e-05,0.00962076024862078,0.00677646743133664,0.563686300103334,0.163,0.548,0.058,25172,0.546,0.179,0.522,0.189,0.4668,1.5254097,23.1,0.126286491035018,-0.0516659347438355,0.313969095826748
"10",-0.0424540660519324,-0.00922908457713019,-0.0281772124027369,-0.00951027105017293,0.0121834909854062,0.00857790701049042,0.0039436444162276,0.00453503209484224,0.00271595054970511,0.00461068790555677,0.0199454632274655,0.0216981846393038,0.056201256148761,0.00806801496864906,0.0531089976429939,0.382261410788382,0.228,0.555,0.044,28750,0.48,0.126,0.499,0.151,0.4848,0.6294628,20,0.162874251497006,0.00104534855139349,0.313969095826748
"11",-0.0424540725416016,-0.00345027190833621,-0.0280341876424534,-0.0138524242837017,0.013405959913711,-0.146908122765051,0.0132004998260589,-0.0155810143493966,0.000437614460662004,-0.013772429345871,0.0226490374054119,0.00694542873561683,-0.0144764217500031,0.0203377092416825,-0.20155268907547,0.222567242510387,0.216,0.574,0.036,51720,0.314,0.049,0.41,0.052,0.4975,1.9275833,30.8,0.104807515196169,-0.352216962256174,0.313969095826748
"12",-0.042454060999284,0.026352751611767,-0.0282434954653665,0.0106537675486146,0.012177008531437,0.0474493256464709,0.00507243213508434,0.00755391697830552,0.00363013001671657,0.00344464109392048,-0.00493904214324411,-0.00916762724848392,-0.0168900075849092,-0.00427260130990338,0.010367133654654,0.134093312962745,0.232,0.484,0.041,20323,0.59,0.166,0.514,0.171,0.4322,1.4610612,28,0.145808383233533,-0.0554094859218925,0.313969095826748
"13",-0.042454072186834,0.0237489432736735,-0.0628699392270058,0.0313909819912387,0.0112004367567542,-0.121508728156803,0.00372945535278372,0.00997818165778793,0.00340183359632018,0.00783798056160923,0.0452770505696481,0.0115866672260761,-0.0109196240461818,0.021047864085407,-0.0685529634356499,0.135648786050268,0.364,0.419,0.073,37050,0.475,0.173,0.497,0.106,0.5223,1.3679855,31,0.201068804275217,-0.302264472115052,0.313969095826748
"14",-0.0424540547245905,-0.016600997623289,0.019915305528147,0.0140303301449729,-0.00889546702831603,0.0117233380083119,0.00520821539198642,0.0037864382402695,0.00363650819696569,0.00154268617716829,0.0108369595898401,-0.0128373079399691,-0.00415707485270687,-0.00545240924511116,-0.0197175405919552,0.542309817645975,0.155,0.481,0.097,24486,0.519,0.129,0.489,0.222,0.4976,2.2631447,23.5,0.183054092867401,-0.0114686138549316,0.313969095826748
