"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",0.0210361374690675,0.0888642858164447,0.0757082898840599,0.0278470744959516,0.000204091918284435,-0.0235704718436841,-0.0153692605187995,0.0107938353554076,-0.0053836678863193,-0.0124558867979727,-0.0454181238918877,0.0357485490062821,0.0185471724358658,-0.00243010601610625,0.174121916294098,0.365299418341822,0.164,0.58,0.058,27294,0.448,0.099,0.488,0.132,0.4155,2.1513505,33.3,0.11497795896722,0.119016110217386,0.506165818900876
"2",0.0210361190490748,-0.168695975840288,0.0218720256194379,-0.00662229285151418,-0.0239461180121435,-0.0127991208788542,0.0115800971139598,0.038564548309604,-0.00373862395430246,0.000586937903306641,0.0637872586399892,0.035742154556039,0.027815933018584,0.00680317587588225,0.0119861327111721,0.12011890965889,0.181,0.501,0.05,25399,0.493,0.105,0.517,0.184,0.4749,1.828076,27.6,0.158054327226785,-0.0194906275628566,0.506165818900876
"3",0.0210361390494224,0.0777767796438373,0.0816021006214616,0.0297240429471778,-0.00810126676225335,-0.0386899577207726,-0.00267257109146823,-0.0127874406467743,-0.00987328022290605,-0.00577127072757031,-0.0472135443489404,0.0335290426179857,0.0172764990540782,-0.00278527324509473,0.133049994707108,0.34879578572376,0.13,0.592,0.055,32935,0.419,0.072,0.49,0.112,0.4358,2.281439,28,0.0778117006353659,0.45138599141138,0.506165818900876
"4",0.0210361469346661,0.17849702543539,0.0536430970418253,0.021175892912823,-0.00643048195619508,-0.0244246863056206,-0.0341588504457037,0.0113807564232306,0.00977998326012233,-0.00906779415517889,0.0348408932783513,0.066552960901771,-0.0102210661732517,0.00195744064182564,0.314561307430267,0.496501019194193,0.148,0.598,0.057,30767,0.385,0.095,0.446,0.158,0.4848,2.9199326,21.9,0.12410942886519,0.0767482401814008,0.506165818900876
"5",0.0210361279781993,-0.218423880385672,-0.0880824159729676,0.00690244977820268,-0.0250805465999589,-0.02524576582774,0.0150267770944048,-0.0412313314449718,-0.00790146059617441,-0.0117194562320282,-0.0342918589252463,-0.0878587404890309,0.0253329149791529,-0.00518655022678957,-0.476723730564117,0.140011547344111,0.206,0.523,0.041,26051,0.477,0.179,0.493,0.107,0.4479,1.1904168,27.8,0.102723198896932,-0.479283708276672,0.506165818900876
"6",0.0210361424729138,0.0788386745479284,0.0654152075133117,0.0200865827181479,-0.00763548648726831,-0.0229865749276436,0.0027795296190034,0.0115032482171742,0.014383075995414,-0.0139850550757748,0.00567384748465829,0.0356926593111118,-0.000117302683724119,0.000290880859324258,0.210975423455238,0.316611240601137,0.159,0.581,0.055,27240,0.472,0.1,0.433,0.14,0.4573,2.5975842,23,0.120520045835525,0.149947129960836,0.506165818900876
"7",0.0210361214128798,-0.167678654003283,-0.109337128309199,0.024282915486217,-0.0136288108889206,-0.041848508901006,-0.0143604963900211,0.0495770478951848,0.0294400598777176,-0.000819308956438057,-0.0506589835941011,0.0504152943209641,0.00642652247606491,-0.000885609040591602,-0.218039527535439,0.133781501895689,0.214,0.549,0.049,31965,0.457,0.106,0.451,0.102,0.4204,2.1474986,32.8,0.141283490867742,-0.182309697104769,0.506165818900876
"8",0.0210361413739627,0.153024184000348,0.0758939887484405,-0.00861209404345937,-0.00513977293894571,0.0214543619073976,0.00543441626344323,0.0131666842081798,-0.00331349995779655,0.0305372406147705,0.0275494116812346,0.00833760555583347,-0.0343865809513231,0.00279946641296775,0.307781547307968,0.439834398343983,0.148,0.507,0.061,22453,0.465,0.097,0.51,0.244,0.5367,1.6925986,20.3,0.123812949640288,0.417004644138052,0.506165818900876
"9",0.0210361329295285,0.107471784957551,0.0283668985506789,-0.0350265777233314,0.00390842422968523,0.0260383976099078,-0.00553370717173134,0.0134550416094692,0.0235950537275895,-0.00868393753614938,-0.0406614288732586,0.029018609042703,0.021024536741335,-0.00176011377029601,0.182249113917351,0.314359334738815,0.177,0.434,0.062,20458,0.511,0.095,0.464,0.18,0.4415,1.775483,25.6,0.0923694779116466,0.106636161590723,0.506165818900876
"10",0.021036122435233,-0.188020881661499,-0.0862681669010262,0.0418068067235486,-0.0236814587198852,-0.043031936677478,-0.0112514922451675,0.0573048982692403,0.0273746477738627,0.00803450520720641,-0.0369203440576845,0.00778490323452113,0.00465202476288804,-0.000166819662682983,-0.22134718298912,0.12735354204627,0.207,0.612,0.044,34578,0.402,0.132,0.43,0.09,0.4317,1.9848492,21.1,0.146314387211368,-0.261340245770308,0.506165818900876
