"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.00666810878867682,0.135007578189063,0.089761997416919,-0.00626611436949972,0.000361934705024873,0.0122153137810458,-0.0208914581583015,0.0138263484402762,0.00527036661296497,0.0248950482691158,0.0172527636881647,0.00662654457979386,-0.0276419388308887,-0.00368143023786078,0.240068838000298,0.439834398343983,0.148,0.507,0.061,22453,0.465,0.097,0.51,0.244,0.5367,1.6925986,20.3,0.123812949640288,0.417169814789625,0.48134397006343
"2",-0.00666811746025946,0.150514912805116,-0.0417477843562418,-0.0225437911140843,-0.00516134583270161,0.000127915114021424,0.00621656862866785,0.0103563799375699,-0.000496421029506905,0.0141937991394339,-0.056034670654184,0.0184879281171215,0.0398276589787291,0.00239720840050133,0.10947024077177,0.388291306647857,0.207,0.503,0.054,23901,0.513,0.074,0.492,0.181,0.4342,1.7254218,31.6,0.122767857142857,0.0610150540367105,0.48134397006343
"3",-0.00666810906432549,-0.0333086417438238,-0.0269650847985197,-0.029341242416434,0.00237468980349284,0.00264622509755532,3.40866771893333e-05,0.0186427288306941,-0.00827521513525479,0.0053928379892687,-0.0572798712413366,-0.0174391273413252,-0.00448427648015474,-0.00355253291662207,-0.158223539590836,0.304772234273319,0.191,0.473,0.079,21197,0.489,0.167,0.54,0.209,0.4354,1.2364918,24.3,0.165851272015656,-0.50430758376402,0.48134397006343
"4",-0.00666810088073619,-0.491500685659489,0.062922391094742,-0.014863135935768,0.00582976446712472,0.0134657043900119,-0.0349442887210999,-0.0766857725713786,-0.0158199524520394,-0.00038608524244961,0.00522123483523716,0.0260310605748176,-0.0476344676049658,0.0106444896305474,-0.564387857913971,0.0424308696588631,0.161,0.498,0.065,22398,0.452,0.065,0.548,0.232,0.4832,2.1465185,20.6,0.105220815514248,-0.244598902595986,0.48134397006343
"5",-0.00666811215965345,-0.128901194217528,0.0581817338140918,0.0386856915258144,0.00787491541676499,-0.0186060605799966,-0.011291156646748,-0.0904036166700087,-0.0044039461910063,-0.00815651967732215,-0.0387414944851561,0.0387834413660309,0.0186816419164827,0.00392042344219043,-0.14104425907135,0.161043623026299,0.145,0.613,0.06,29994,0.446,0.062,0.51,0.122,0.3998,2.5694647,30.6,0.124578147113256,-0.118945512814444,0.48134397006343
"6",-0.00666809772736437,-0.617673814092576,0.075489970975861,-0.0779652565153326,0.0519724331249433,0.0556149179338203,-0.0198832845556576,-0.128659177288385,-0.0104141543216475,0.0289351652462528,0.0297666974201237,0.00317380855088715,0.056247676577546,0.00865316889503197,-0.551409959793091,0.0434529864845226,0.174,0.354,0.104,17386,0.483,0.027,0.598,0.346,0.5105,1.5495547,37.1,0.172901921132457,-1.6224689433141,0.48134397006343
"7",-0.00666811147958164,0.115953130295786,-0.0136514916096678,0.0205854503996591,0.0132185467155023,-0.0325627659454557,0.00390292641545093,0.0199093762880371,0.00384255204686972,-0.0332662165436636,-0.0276178113707265,-0.0351403568046264,0.0336051145553433,-0.0160500206273905,0.0460603162646294,0.428016480282519,0.19,0.552,0.067,26033,0.522,0.133,0.496,0.14,0.4467,1.3003143,27.1,0.189652787384147,0.0776063859793119,0.48134397006343
"8",-0.00666813611858332,0.00989592509487097,-0.0864124855403982,0.00671042759493699,0.003910020842721,-0.00894808448603352,-0.0144581426923317,0.0330912259364168,0.0326719616922248,-0.0116203986515579,-0.0144611967654715,0.0952402853702747,-0.015314091734073,-0.00112186164380207,0.0225154664367437,0.227069108774972,0.232,0.53,0.06,28202,0.449,0.138,0.461,0.15,0.4442,2.494873,22.4,0.123599928183739,0.462459352278681,0.48134397006343
"9",-0.00666810152528202,0.147408768389425,0.0881321320483713,0.0619125933230846,-0.00261728202592999,-0.024895343254183,0.00525816411029879,-0.0377751194308982,-0.00304330606712032,-0.021241910304446,-0.00541239653741326,0.0516471550193823,0.00175711431409112,-0.00248003076881574,0.251982420682907,0.677074835439254,0.095,0.641,0.061,28954,0.53,0.21,0.483,0.119,0.4516,2.2675056,23.7,0.157367068055744,0.132478457629688,0.48134397006343
"10",-0.00666811986850823,-0.301162651924146,-0.0213049588724706,0.00407643537886574,-0.0167055168214154,-0.0106582727164566,-0.0339444299502729,-0.0555191869477653,-0.0285140445259263,-0.00421813967701874,0.0142708614178627,0.0579270095887455,-0.114551298061494,-0.00569372553497256,-0.522666037082672,0.0484463276836158,0.199,0.518,0.046,27725,0.413,0.055,0.559,0.168,0.4709,2.3576965,20,0.142747352840715,-0.413966980509011,0.48134397006343
