"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0870908790205029,-0.0259521860213488,-0.0396270558697519,-0.014098740482899,0.008576219024908,-0.0472719859424496,0.0499309676779513,-0.0380244626673696,0.0118099779749495,0.00639600781195808,0.0242412443931554,-0.135232906769855,-0.00800308001337861,0.0031069436932361,-0.291239947080612,0.289085860743272,0.195,0.5,0.065,25015,0.569,0.192,0.518,0.206,0.4819,1.0188967,18.7,0.132463204665371,-0.527032348127798,0.47838953186273
"2",-0.087090899638134,0.0993307015959907,-0.103210693004633,-0.00195839382719525,-0.00857826192279842,-0.0285872223085831,-0.0161522206480293,0.00851097485531513,0.0271570136039594,0.0025860413282638,0.00587475746752336,0.034889533352476,0.0191508487701329,0.00129924178575078,-0.0467785745859146,0.229202211852735,0.238,0.519,0.048,34606,0.417,0.09,0.389,0.113,0.4648,2.160151,24.9,0.108568600650422,0.0523643135659637,0.47838953186273
"3",-0.0870909097017852,-0.0967224273173682,-0.198077331962592,-0.0243652811094492,-0.0116211074277933,0.00571446472706516,-0.00890418696266484,0.0463294066414168,0.01696694568164,0.00841095898236146,-0.0373714936141442,0.0745221193324727,0.0260917868538941,0.00211774599135549,-0.283999294042587,0.0900639994279381,0.289,0.457,0.053,23902,0.475,0.142,0.51,0.167,0.4151,1.7980208,25.7,0.137218045112782,-0.186867983745099,0.47838953186273
"4",-0.0870908991893002,0.097444892191869,-0.102471928541479,-0.00305980499401207,-0.00864418507558582,-0.0286289778975941,-0.0150149948035812,0.00752782514387992,0.0267144763339274,0.00164745813950006,0.00739995616143131,0.0373486283652612,0.0197372638693101,0.000311711686335353,-0.0467785745859146,0.229202211852735,0.238,0.519,0.048,34606,0.417,0.09,0.389,0.113,0.4648,2.160151,24.9,0.108568600650422,0.0523643135659637,0.47838953186273
"5",-0.0870908931729674,-0.127166116897185,-0.0756963511696055,0.00832259070472555,-0.00613461076934414,-0.0191636038620414,-0.0104184147247901,0.0489194394992223,0.0218583280730171,-0.000643683893391903,-0.0287061845668806,0.0457494580457268,0.0247884999938295,0.00480848801100638,-0.200573056936264,0.133781501895689,0.214,0.549,0.049,31965,0.457,0.106,0.451,0.102,0.4204,2.1474986,32.8,0.141283490867742,-0.186380176289478,0.47838953186273
"6",-0.0870908964395748,-0.0583134757377207,-0.120152615410526,-0.0204175825567702,-0.0140465959641463,-0.0281751738833586,0.0249888694863268,-0.0446182906211078,0.00438431514119898,-0.00269565062352082,-0.0071847354762785,0.0471042215975757,0.122563968394875,0.0136057134775917,-0.170047923922539,0.146693863674996,0.246,0.511,0.041,27938,0.515,0.194,0.51,0.129,0.456,1.7367022,35.7,0.168266285480907,-0.560909810957763,0.47838953186273
"7",-0.0870908677592919,0.133154458568211,0.0814935824414759,0.032822992050466,0.00611985808834873,0.0668001569743239,0.00305857721858356,-0.0212765725389671,0.00833029004944088,0.00193099236714452,-0.0219646140587471,-0.00648586790828946,-0.0113145372511406,0.0434391887914699,0.229017615318298,0.530697190426639,0.143,0.577,0.075,23604,0.515,0.176,0.476,0.165,0.428,1.403851,21.8,0.215694124712241,-0.104214683780573,0.47838953186273
"8",-0.0870908793790808,0.130771240723607,-0.0240829555662899,0.003720460293236,0.0172787197327288,-0.0269042213214854,0.0515258173967501,0.0232722394139792,-0.0113695467177215,0.00247658534508859,0.0649165036201396,0.0042806520624831,0.0328307690388038,0.00337714973870795,0.185002520680428,0.367533291058973,0.2,0.506,0.069,23988,0.54,0.088,0.554,0.191,0.4894,1.3516382,29.9,0.12373490042442,0.402504792648013,0.47838953186273
"9",-0.0870909202815863,0.30018988062763,-0.217094331485136,-0.00713774480035044,-0.0170404817704134,-0.0332972610597837,0.0348302586453639,-0.115263690696271,-0.00526328125383549,0.0016079774102808,0.0200363280489495,-0.2282575467104,0.0408618001721337,0.0603654316437508,-0.252553552389145,0.451628126474752,0.314,0.564,0.036,25742,0.567,0.31,0.504,0.133,0.4737,0.3747884,29.4,0.29133064516129,0.0284698025200822,0.47838953186273
"10",-0.0870908751375632,0.109967995300524,0.0265859370170716,-0.000544365473005627,0.00860183867469289,0.0344749863417537,0.00549208098326082,0.0357100747322089,-0.0141326521356339,0.0045004683957883,0.0483936535744223,0.0169277435096955,0.0386450327933849,0.0037473368352869,0.231279239058495,0.384111871466825,0.172,0.506,0.075,23520,0.49,0.141,0.568,0.194,0.4773,1.6555904,32,0.105460335300178,0.467341547003484,0.47838953186273
"11",-0.0870909134176301,0.273343236425381,-0.0836190949796956,-0.00849429863519121,-0.00982476321959753,-0.0453950959140776,-0.0133063972142583,0.0394947133431046,0.0266296495642662,0.00932186085579237,0.0298101554146527,0.0574716065923866,0.016935150888735,0.00317783180918259,0.20845365524292,0.320771648889008,0.264,0.498,0.05,38946,0.414,0.107,0.379,0.102,0.4765,2.5230415,22.7,0.141841184056992,0.266151811245642,0.47838953186273
"12",-0.0870908759531174,0.112455232338187,0.0275645491988388,0.00037667891372344,0.0087177916898362,0.0335906006221007,0.00563916930134241,0.0363334068068497,-0.015017500258594,0.00373080054316202,0.0478115005224461,0.0171224335353242,0.0377023866981234,0.00234308113596618,0.231279239058495,0.384111871466825,0.172,0.506,0.075,23520,0.49,0.141,0.568,0.194,0.4773,1.6555904,32,0.105460335300178,0.467341547003484,0.47838953186273
"13",-0.0870908795442544,0.206022671456333,-0.0963065314662721,-0.0163003451070339,0.0108369960038487,-0.036688822440795,0.0423780182899515,0.0363694255789069,0.00670656163564648,-0.000235051745824872,-0.0230101010332384,-0.176686509399601,0.0159273368758182,0.000405008112967203,-0.117672234773636,0.583624912526242,0.216,0.49,0.069,24248,0.553,0.159,0.512,0.165,0.4406,0.95509595,22.6,0.134001484780995,0.118553462511839,0.47838953186273
"14",-0.0870908829453598,-0.217755006695085,0.115608524556709,0.0462648553463402,-0.00198164068376126,-0.0458337102979735,0.0465206702014351,-0.0539305592898261,-4.02648848702985e-05,-0.000616629159674063,0.0282553255826576,0.0480031597342317,0.0186759150154874,-0.000822092306634074,-0.104742348194122,0.0963417305585981,0.153,0.603,0.045,32735,0.531,0.045,0.522,0.092,0.4693,2.044277,26.2,0.10613732077793,-0.351304152064989,0.47838953186273
"15",-0.0870909063745879,0.121904033064502,-0.119031743287887,0.0067003736234715,-0.001002402626537,-0.0242060475798731,-0.0287898687349632,0.041764580676817,0.0221864174454641,0.00498765415417907,0.0334414985505201,0.0371464238223214,0.0317114245608555,0.00374842583336184,0.0434698723256588,0.26014081557762,0.243,0.549,0.054,35196,0.345,0.109,0.428,0.122,0.4851,3.551606,24.5,0.144603215790839,0.305101228815678,0.47838953186273
"16",-0.0870908703363563,0.173724224498116,0.0831127153061186,0.0335285238167398,-0.0126674559814344,-0.0207854193143437,-0.0182052740235277,0.0270934325868836,0.0111638275575134,-0.00535422691459194,-0.0378304599013044,0.04568856663584,0.0171893982887478,-0.00943774952925601,0.200129210948944,0.496395455632022,0.136,0.608,0.036,31842,0.418,0.117,0.461,0.091,0.3992,2.3702946,27.3,0.100819323260268,0.0372925953672101,0.47838953186273
"17",-0.0870909147914512,0.155675269135582,-0.202089592688703,-0.0206882540740344,-0.00470530122268745,-0.0285396105950427,-0.00515128061909013,0.00514570837310374,0.0169243085127173,-0.00509125285048202,-0.00507498563740023,0.0864414470313751,0.0253607854385973,0.00346301118460509,-0.0654206424951553,0.224543325526932,0.311,0.482,0.055,31502,0.469,0.09,0.478,0.1,0.4487,1.909522,28.4,0.131781140861467,-0.555062814795517,0.47838953186273
"18",-0.0870908976161599,-0.161064310559669,-0.113082846767858,-0.0275790508064255,-0.0182371559114881,-0.0357829275919316,0.0160901924244442,-0.0240659971729887,0.0427738616301021,0.0148447018791662,0.00496417892660096,0.00998898310193557,0.027749301471305,-0.0014672367278883,-0.351959198713303,0.0853730949396319,0.238,0.461,0.044,27338,0.525,0.065,0.48,0.197,0.4595,1.5221301,25.6,0.103943272224144,-0.234840236362588,0.47838953186273
"19",-0.087090879716089,-0.196109266993065,0.0204886663920071,0.0042794857266923,0.0140033348572326,0.0337278561383642,0.0109670231627676,0.0293766261102351,-0.0117939950180153,0.00453193631763364,-0.011673957749696,0.024172455402644,0.022201605844741,0.00252924666794574,-0.140389874577522,0.12599635414805,0.179,0.506,0.068,22695,0.518,0.087,0.559,0.188,0.443,1.7329583,26.8,0.0862808145766345,-0.179307558987416,0.47838953186273
"20",-0.0870908737678543,-0.198737223810208,0.0695882579717396,0.0150430542512782,0.00303347922803959,-0.00457973837593309,-0.0456319221361476,0.0153268707842465,0.0213261379687049,0.0122899604313532,0.0365564178922027,0.0440167644888816,0.00662395382599911,0.00398348816045341,-0.108251392841339,0.115769493976526,0.166,0.546,0.056,24946,0.426,0.083,0.443,0.189,0.4779,2.3011584,22.7,0.120179609086107,0.352122939401241,0.47838953186273
"21",-0.0870908943141228,0.141270240716328,0.134165904112646,0.168885763204353,0.0103508312608475,-0.0334057675052517,0.0952919939570129,-0.0782881379177511,-0.0285617020117144,0.00739729567653891,0.0238198919218937,-0.209770535297385,0.0986592352011215,-0.0154124556318501,0.227311655879021,0.503559693318729,0.107,0.707,0.019,27491,0.62,0.306,0.474,0.123,0.4676,0.6855515,14,0.160684704583103,0.45997294130009,0.47838953186273
"22",-0.0870908647329114,-0.677577331182016,-0.0274910332194681,-0.0520407623761159,0.0607522292500807,0.000401857641474275,0.0205757132342305,-0.0441118857572431,-0.0215391270872587,-0.0121788343308588,-0.01024753070749,0.0244390357318814,0.00959956843175997,0.00645658803800323,-0.810052394866943,0.0285230957191861,0.208,0.346,0.134,22703,0.516,0.056,0.574,0.224,0.452,1.6109931,30.6,0.132639125981564,-1.24024558403851,0.47838953186273
"23",-0.087090875386997,-0.0232908588853933,0.142597670666796,-0.00936553623327536,-0.0250905740447161,-0.0163166378930995,0.00866384945702596,0.0271350759206592,0.00982879215066073,0.00511236109054163,-0.0131253465919553,0.00318529295533629,-0.0187442034350751,0.00541714256733006,0.00891613587737083,0.247125920603557,0.135,0.509,0.033,24480,0.527,0.138,0.484,0.167,0.4523,1.3845782,20.1,0.132499122909601,-0.726222745148875,0.47838953186273
"24",-0.087090923448853,0.329041285249676,-0.215630787460811,-0.0358354742624936,-0.0299866602939784,-0.0647080734460432,0.00264800570800135,0.0187714000949643,0.00381568690266001,-0.0852200022677306,0.0383954544430612,-0.21059451349396,-0.0468586111207283,0.0526747964788519,-0.3305783867836,0.416331994645248,0.34,0.404,0.043,26531,0.499,0.169,0.501,0.039,0.3305,0.0018074233,20,0.213049267643142,-0.365309601240756,0.47838953186273
"25",-0.0870908803547593,-0.0920906835520735,-0.0452579180266474,0.00354385317588339,-0.0266748237584498,-0.0165659441309397,0.00145054891589259,0.0228077795021606,0.00789298059157841,0.00230747611819179,-0.0138416707579563,-0.255012379933159,-0.0044200286847019,-0.00516501870531465,-0.508116722106934,0.152366094643786,0.197,0.569,0.029,28609,0.489,0.103,0.479,0.125,0.4308,0.9024643,20.8,0.114893617021277,-0.464595039164897,0.47838953186273
