"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",0.0272258649987214,-0.029477403035534,-0.103372350025995,-0.00138809470759713,-0.013372553870349,0.021179745135279,-0.00740182084382876,-0.0075671741398337,-0.000229540274225469,-0.00221825534797779,0.0218287045190726,0.0192690653539812,0.0279312631758903,-0.0173296260147555,-0.0649221614003181,0.0706739006282124,0.282,0.525,0.047,30485,0.424,0.046,0.425,0.136,0.4551,0.36007032,16.3,0.181545636242505,-0.511811578552914,0.593217436545572
"2",0.0272258694015995,0.147489750176586,-0.126293016736248,-0.0442795670136781,0.0461014792077253,-0.0399222988824899,-0.0115811972171355,0.0332773079045217,-0.0108257278446727,-0.00454649092876725,-0.00857644432881811,0.0248804175425429,0.00196609820613521,0.0410202933681282,0.0759364813566208,0.469682386910491,0.299,0.402,0.125,36739,0.466,0.089,0.437,0.197,0.493,0.18443736,18.1,0.166666666666667,0.246613496548371,0.593217436545572
"3",0.0272258732042572,0.119464505090183,-0.0243810121206044,-0.00220293161034936,-0.0201897055988298,0.00120411818033471,-0.0136460106891959,-0.0349437068847887,-0.00478997508501007,0.00734138770567881,-0.00897832550621207,0.0204316749638677,0.0524340537872769,-0.0321331457332954,0.0868368074297905,0.378483617956277,0.228,0.559,0.041,32590,0.41,0.058,0.408,0.093,0.4104,0.24773064,16.5,0.284862784055631,0.139779511456917,0.593217436545572
"4",0.027225912328895,0.0993319599957952,0.0869981978584609,0.0138546970787471,0.0498099017887194,0.00815862401428455,0.0366190796401021,-0.0195881008580688,0.0309334196053254,-0.00260622632077884,-0.0156402639551316,-0.00344806063979731,0.00148284677320415,-0.0460246795123214,0.267107278108597,0.72350045323566,0.11,0.526,0.119,23011,0.576,0.083,0.465,0.212,0.4719,2.156614,28.6,0.173814361464889,0.33148313609715,0.593217436545572
"5",0.0272259044357383,0.042315646959824,0.0837984527430237,0.0208424287507032,0.0101456212048839,0.0226499826234954,0.0259663807700063,0.0164545876503269,-0.00997677591182362,0.00253723670725289,-0.00940662138832059,-0.00354578245922617,-0.00776457240908753,0.0319327599476593,0.253175228834152,0.596343835929094,0.09,0.617,0.064,24380,0.53,0.143,0.391,0.152,0.4057,1.884757,21.5,0.168591873243036,0.314461880240502,0.593217436545572
"6",0.0272258864491953,0.0674550851176078,0.120410681621275,-0.0510962947306189,-0.00954799905924683,0.0184466125316422,0.00500342747474741,-0.0155784109575804,-0.0363190281402138,0.00357812175564318,-0.00666544575376123,0.00837423964528158,-0.00873946778127351,0.0334453635815333,0.155992761254311,0.345707054318905,0.142,0.323,0.065,22134,0.502,0.044,0.389,0.135,0.4171,0.8281688,20.6,0.131654676258993,0.630123486108564,0.593217436545572
"7",0.027225904683539,0.0421085109090107,0.0840807005358606,0.0208797936703387,0.0106340459149213,0.0221937560724817,0.0255711590618366,0.0164858033702044,-0.00885684521168396,0.00299785893277488,-0.0105165347805606,-0.00279598628661248,-0.00804306617565088,0.0312101490325579,0.253175228834152,0.596343835929094,0.09,0.617,0.064,24380,0.53,0.143,0.391,0.152,0.4057,1.884757,21.5,0.168591873243036,0.314461880240502,0.593217436545572
"8",0.0272259063183856,0.120395058958622,0.0844212500518056,0.012421313564714,0.0284959987877082,0.0183566850002728,0.024488471192567,-0.0281099778027674,-0.00578432537719176,-0.0096614487841108,-0.0140268799017285,-0.0024388450342102,-0.00897585461277593,-0.0243766689305349,0.222430661320686,0.714837474940355,0.112,0.534,0.095,21380,0.539,0.081,0.429,0.238,0.4728,1.9851329,22.6,0.173974890578208,0.308953930498903,0.593217436545572
"9",0.0272258727854302,0.12003368413943,-0.0249707965974715,-0.00156390440939795,-0.0200257170472404,0.00235634269945767,-0.0145780543271258,-0.0350264399431898,-0.00551314731545229,0.00638913530759116,-0.00858453564127091,0.0196618661444957,0.0526573787198666,-0.031224884866643,0.0868368074297905,0.378483617956277,0.228,0.559,0.041,32590,0.41,0.058,0.408,0.093,0.4104,0.24773064,16.5,0.284862784055631,0.139779511456917,0.593217436545572
"10",0.0272258863666788,0.0677369388504812,0.119099676489887,-0.0510500488439043,-0.0106147789848655,0.0193378246473902,0.00519103055453112,-0.0150710862917695,-0.0357587968205575,0.00361443361581693,-0.00667748061616908,0.00858235913543715,-0.00927379331386694,0.0336506069439991,0.155992761254311,0.345707054318905,0.142,0.323,0.065,22134,0.502,0.044,0.389,0.135,0.4171,0.8281688,20.6,0.131654676258993,0.630123486108564,0.593217436545572
"11",0.0272258897266421,-0.12962016106888,0.00287138931393539,-0.00129115849028143,0.00101425918195835,0.00322162974362008,-0.0151825540793732,-0.0108833583824166,-0.00384891760480529,0.0153086142813246,-0.00517299724183722,-0.00090094391141704,-0.00599313396848601,-0.0016278882365351,-0.124879337847233,0.219179401953346,0.175,0.564,0.064,29440,0.427,0.053,0.409,0.126,0.4292,2.065154,25.8,0.15109651503637,-0.143369334671532,0.593217436545572
"12",0.0272258735319021,-0.071308509577189,-0.0217772524538745,-0.0316537071079374,0.00614626646441573,-0.00061437187144339,-0.0123640832191317,-0.00465210254617577,-0.00607951792653725,-0.00884559367565659,-0.00818341051848641,0.012756351147511,0.0103045748556384,0.0213735084625442,-0.0876719653606415,0.238957393944971,0.247,0.463,0.071,28615,0.464,0.059,0.408,0.188,0.4772,0.841004,18.4,0.1504682751349,-0.055627258765238,0.593217436545572
"13",0.0272258713533179,-0.0608657112289876,0.0273707373217099,-0.0221668258023092,-0.0323232355652204,-0.015344613693244,-0.0049236550351087,-0.00476325596148108,-0.00555296596971304,0.0174018532234309,-0.0196495934087546,-0.00620505506847599,0.00340439833852618,-0.0547659022653185,-0.151157945394516,0.208420823980885,0.24,0.466,0.056,37087,0.436,0.049,0.375,0.078,0.4229,2.6110075,28.4,0.200075065011662,-0.545719663999,0.593217436545572
"14",0.0272258856288251,0.0631609721913932,0.00529295741030547,0.0275563381181093,-0.0118259360233556,-0.0200524387595641,-0.00422175489350313,-0.0390833620492426,-0.00150754568349608,0.0148172967243202,-0.00184938252292532,0.000258026478942987,-0.00280839474278467,-0.0196073464449157,0.0373553074896336,0.475659454387887,0.186,0.622,0.045,45195,0.428,0.059,0.347,0.078,0.4712,2.2650197,25.6,0.183540830179959,0.128278676875375,0.593217436545572
"15",0.0272258853599313,0.0636638677771123,0.00555266066648159,0.0270254287413835,-0.0112908926030345,-0.0207897609269233,-0.00346887222978215,-0.0384053001821162,-0.00134171509786841,0.0147286102818315,-0.00183138100678184,0.000239423469888925,-0.00396629226118758,-0.0199863466205322,0.0373553074896336,0.475659454387887,0.186,0.622,0.045,45195,0.428,0.059,0.347,0.078,0.4712,2.2650197,25.6,0.183540830179959,0.128278676875375,0.593217436545572
"16",0.027225905914139,0.119787292838491,0.0844364641749246,0.0132329646454739,0.0278987805893413,0.0182871158365478,0.0244809749832214,-0.0284873217552297,-0.00659777743374251,-0.00904406733289664,-0.0141809555471676,-0.00232304774736068,-0.00821388692127277,-0.0240717587804532,0.222430661320686,0.714837474940355,0.112,0.534,0.095,21380,0.539,0.081,0.429,0.238,0.4728,1.9851329,22.6,0.173974890578208,0.308953930498903,0.593217436545572
"17",0.0272258719169197,0.0288050130743912,0.00985865971991238,0.0241599663407057,-0.0126113816020246,-0.0277386237892703,-0.0330841716838697,-0.00932281184322975,0.00367264076372024,0.0157662955291432,0.0102594081280234,-0.00258031534958796,0.00220712438446894,-0.0139290910454197,0.0226885881274939,0.288459393020778,0.216,0.613,0.037,72466,0.251,0.035,0.296,0.072,0.5178,2.696632,32.6,0.234821825672396,-0.0957616218988733,0.593217436545572
"18",0.0272259005071083,0.057707844840599,0.0502565818039417,0.0139982576118571,0.0100920893304757,0.0187148278824765,0.0411447562933982,0.0160393314283974,0.0124869626215165,0.000850993958638597,0.00102474531809059,-0.00244701341756676,-0.0212853727012795,0.0340415392287933,0.259851425886154,0.568048474751399,0.135,0.58,0.064,23459,0.568,0.131,0.448,0.174,0.4439,1.7665402,19,0.164682252286181,0.189835030858398,0.593217436545572
"19",0.0272258715474976,-0.036399137707524,-0.148425432607022,-0.0576063900265259,-0.0222686834298585,-0.00360447753562983,-0.000824402983991945,-0.00386707407660118,-0.00875123480945701,0.0164064511808216,-0.00852667432594201,-0.0101646498216192,0.0110215609542178,0.0593598146923571,-0.186424449086189,0.190644636815046,0.275,0.444,0.064,33456,0.456,0.044,0.395,0.114,0.4414,1.6532602,38.3,0.134519572953737,-0.0559824525001202,0.593217436545572
"20",0.0272259007898448,0.0575710701935216,0.049676958909704,0.0139217830227934,0.0100916975597418,0.018837005683633,0.0404821564823621,0.0166539002754834,0.0115935563523511,0.00144036463416782,0.00195866051472634,-0.00247950131415301,-0.0219648357997067,0.0348427273724634,0.259851425886154,0.568048474751399,0.135,0.58,0.064,23459,0.568,0.131,0.448,0.174,0.4439,1.7665402,19,0.164682252286181,0.189835030858398,0.593217436545572
"21",0.0272258862259397,-0.109512863272664,-0.0133155238165567,-0.000680470062522907,-0.026509783525852,0.0104837882681489,-0.00258434296605613,0.00199296260080511,-0.00765196068302928,0.0118311141336469,-0.00932698283672331,-0.00301996413956983,0.038425548814189,-0.00369876650964664,-0.0863413587212563,0.254420206659013,0.202,0.566,0.045,27445,0.469,0.078,0.431,0.116,0.4141,1.0494343,18.2,0.162235201813268,-0.00963081235665131,0.593217436545572
"22",0.0272258943651044,0.000625355849780483,0.0108172847328494,0.0160034420493459,-0.0376626048387095,-0.0121914271813268,-0.013641936197178,-0.0180896138661102,-0.0056565478863876,0.00563458632676891,-0.0186602752890742,-0.00485075296083284,-0.000803488121859418,-0.024396559967755,-0.0756466537714005,0.304293397161771,0.131,0.643,0.041,39527,0.391,0.061,0.396,0.075,0.4045,2.5954924,32.6,0.201438422330877,-0.131052253517201,0.593217436545572
"23",0.0272259017336173,0.123549083376247,0.11604916616886,-0.00649284291952148,0.0199935452198639,0.0220844325552177,0.0361710854371709,-0.00873783988794,-0.0135659926517407,-0.00644517900054371,-0.001737739996863,-0.00134024948442639,-0.00550025545873005,-0.0385135554920592,0.262739539146423,0.677903789874644,0.1,0.478,0.076,22373,0.558,0.075,0.425,0.182,0.4272,2.0414097,22.8,0.183489145935668,0.449469126170811,0.593217436545572
