"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0171019604453738,-0.0274336569085785,-0.00278149239554574,0.0068763273094357,0.0155742940730418,-0.0129629994465378,-0.0196580315051605,0.0116201794130613,0.00118779623148893,0.000199778179754986,0.00461933457840966,0.00576701448160391,-0.0249028028904377,-0.0149371370821086,-0.0739333555102348,0.166195622916537,0.187,0.54,0.062,28699,0.397,0.042,0.433,0.174,0.4652,2.4311745,19.3,0.166314464811473,0.0963487070998954,0.0270912268316337
"2",-0.0171019671074399,-0.0361577346466558,-0.000685146712941527,-0.00156540716884648,-0.00419227768577633,-0.000721121620034243,0.00162914503038738,0.00976479119575951,-0.002064803576029,-0.00455793125189663,0.0157846421662428,0.086592371867198,0.0111713719931193,0.0116752170421935,0.0695711523294449,0.107276014538914,0.298,0.57,0.041,44505,0.394,0.033,0.379,0.064,0.4542,2.732623,23.9,0.128995587753608,-0.194300673065203,0.0270912268316337
"3",-0.0171019560326734,-0.000847392409916192,0.00530797044447395,0.00716654208103489,-0.00152958477907878,-0.0134096933623916,0.00850943192752174,0.00584487086934193,0.00826840725293517,0.000569623014790296,0.0168045418398886,0.0220468283686567,0.00274700867601568,-0.00113693190720732,0.0432396605610847,0.247574634968689,0.171,0.629,0.049,51700,0.303,0.057,0.369,0.069,0.4764,3.1211321,35,0.191612894965945,0.108239028687513,0.0270912268316337
"4",-0.0171019536119192,-0.00958487352783466,0.00815989483711643,0.00757377365332063,0.0240622578030922,-0.0798516203985237,-0.0356101649409362,0.00585802621451885,0.007748194818037,-0.00249346954669023,-0.00221729296294696,-0.0278052230687079,0.0122665309828528,0.020331709355704,-0.0886642187833786,0.0596168634178081,0.158,0.561,0.069,28587,0.48,0.046,0.492,0.17,0.4324,2.0901706,25.2,0.147084880586605,-0.0350180040875241,0.0270912268316337
"5",-0.0171019593570258,-0.030069290300424,-0.0100416447544297,0.0113716197459524,0.00996467727007467,-0.0277811456697616,0.00759890318604654,0.0060021262228932,-0.00648487889070038,-0.00637933506315698,-0.000230940398674225,-0.0376171283729317,0.0186424156255279,-0.0174379776327325,-0.0995645597577095,0.0504464285714286,0.208,0.552,0.056,27678,0.449,0.055,0.433,0.154,0.4178,1.7342625,26.3,0.175030750307503,-0.038723065000267,0.0270912268316337
"6",-0.0171019562394652,-0.0011540293879217,0.0059231249768041,0.00691240870133382,-0.00200556248003985,-0.0133020284765448,0.0091563101775529,0.00559419789919822,0.00841159141745376,0.000473893606661425,0.0165309401126354,0.0223644687657661,0.00277416717076759,-0.00133786030327387,0.0432396605610847,0.247574634968689,0.171,0.629,0.049,51700,0.303,0.057,0.369,0.069,0.4764,3.1211321,35,0.191612894965945,0.108239028687513,0.0270912268316337
"7",-0.01710195626749,-0.000373186935040532,0.00591920393024291,0.00707273744614711,-0.00179051188299415,-0.0135119130532469,0.00909015065904688,0.00555472569397631,0.00851528047044275,-0.000135769626021553,0.0166569363403778,0.0224851494419441,0.0028126142416058,-0.00195379453468238,0.0432396605610847,0.247574634968689,0.171,0.629,0.049,51700,0.303,0.057,0.369,0.069,0.4764,3.1211321,35,0.191612894965945,0.108239028687513,0.0270912268316337
"8",-0.0171019567682325,0.0218282830749432,0.00455952861414263,0.00210198235612702,0.00172741453481392,0.000476027978305709,0.0180873920616187,0.00501118656671871,-0.00278987541210493,0.00751809703286046,0.00506092318642663,0.0255655254319995,0.00676868244450153,0.00446251411216577,0.0832757204771042,0.384071217154596,0.166,0.569,0.054,28845,0.455,0.071,0.501,0.135,0.4279,2.4892225,26.4,0.135139814734655,0.0936003492960551,0.0270912268316337
"9",-0.0171019590091793,-0.00435613844697022,0.00295567285936157,0.0031978671540042,-0.00954908567426967,0.00262951240758778,0.00719795004573512,0.0137353285055742,0.00366306109095095,0.00985686917509261,0.0134427843179587,0.0776845333675473,0.00280610865137395,0.00754907229960319,0.113711573183537,0.245050062271919,0.176,0.599,0.043,33598,0.365,0.032,0.412,0.142,0.4661,2.9450045,21.5,0.150836003838285,0.0499553871432541,0.0270912268316337
"10",-0.0171019539392742,-0.0216848792187961,0.00422000271386255,-0.00935821856105999,-0.0106586971730776,-0.00019490602661042,0.0020673343792589,0.00545034921421985,0.00235062729701353,-0.00337844171206857,-0.120895485256511,-0.0231483659595462,0.00132166153190868,0.0073929398365549,-0.183618038892746,0.265155793844612,0.141,0.672,0.042,43582,0.324,0.045,0.407,0.068,0.4045,2.5943258,35.4,0.136839562463671,0.0266309373987301,0.0270912268316337
"11",-0.0171019578393436,0.0304767518935355,0.00383105862726923,-0.00305702165160448,-0.0211579263495278,0.0127795557267622,0.0168465077408638,0.00865684484790052,0.00349715903622288,-0.00998048520958737,-0.0854711634949143,-0.023876762593785,0.00525849415930708,0.00785093353039392,-0.0714480131864548,0.598395513962416,0.122,0.642,0.035,41717,0.362,0.038,0.484,0.063,0.3848,2.552199,45,0.141104596132807,-0.0884288919584733,0.0270912268316337
