"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",0.0273198772573643,-0.130685613260241,-0.400361272956254,-0.0393961730569,0.0468373654793372,-0.0553722098734603,-0.030484652545388,-0.0501791847983955,0.0290207001165781,0.0108552801396656,0.00463041943031334,0.00499090965134608,0.0208842678903578,-0.00934164562201967,-0.571281909942627,0.181390630763556,0.303,0.398,0.063,26109,0.516,0.06,0.516,0.16,0.4295,1.3814572,21.6,0.179980750721848,-0.554464705582305,0.508656797659823
"2",0.0273198817560619,0.244198829122456,0.0245744293601815,-0.0342222818905281,-0.0859897166668853,0.0866003862700594,0.0586811144763136,-0.0594465825255764,0.0222433199065241,-0.0169552881386188,-0.0320679130804898,-0.0126354280102898,0.00702034813905227,0.129335981677338,0.358657091856003,0.316575916885718,0.193,0.488,0.086,24301,0.528,0.063,0.468,0.221,0.4656,1.3437793,23.4,0.141077974008664,-0.174369094048396,0.508656797659823
"3",0.027319900949936,0.172765030596863,0.163350741730213,-0.0343974174150117,-0.0684011610463293,-0.0395565818619482,0.0120436481772655,-0.0026875470233492,-0.0214655792159492,-0.00747059067371547,0.0256049897753339,0.00583688663322279,-0.0343470991173165,0.0260362013186567,0.224631413817406,0.537899676409077,0.15,0.529,0.083,27371,0.507,0.08,0.409,0.155,0.453,2.206663,27.5,0.163798465685258,0.195247699952353,0.508656797659823
"4",0.0273199065898889,-0.296985987101932,0.0122591473322684,-0.0616812546254133,-0.0301876122626465,-0.0344358373684693,-0.0347457778667844,-0.0265639096573183,-0.010549741011221,0.00433899357307551,-0.00361774951781852,-0.00611372408457247,-0.00685719798433305,0.0190684109245774,-0.448752343654633,0.166114274745665,0.207,0.495,0.071,27127,0.512,0.073,0.426,0.131,0.4252,1.5261966,28.5,0.162242748339005,-0.321944869865741,0.508656797659823
"5",0.0273199176705884,-0.358542679245821,0.0454743911485093,-0.0493881808364253,-0.0171107000252096,-0.0281440383208031,-0.0330712212870828,-0.0530079079046085,0.00810581618235565,-0.00524403609840672,0.00365817163170641,0.00299514394143429,-0.0071979815425516,0.0768565919226006,-0.387296736240387,0.163676038135196,0.188,0.525,0.066,28876,0.513,0.052,0.482,0.144,0.4429,1.986376,25.7,0.132911682478574,-0.00193685172788882,0.508656797659823
"6",0.0273198509484829,-0.141313563074053,-0.396428644338976,-0.0188855928481599,0.0988610595935066,0.0217807752693213,-0.00448843451608059,-0.0263234325048081,0.0342379455663106,0.000344608928602406,-0.0302404614821886,-0.00557715002793521,-0.00262857997447521,0.0223383800639381,-0.421003192663193,0.116157903148474,0.353,0.417,0.057,36598,0.425,0.054,0.344,0.13,0.4689,1.2519689,24.5,0.163034001743679,-0.269882241342338,0.508656797659823
"7",0.0273199005639449,-0.115691633082477,0.0542691933283978,-0.0130337056729306,0.0395269762454833,-0.0235581927719301,-0.015316695453678,-0.0405682323865219,-0.0127205080665314,0.003049126949816,0.0305230755263524,-0.0010632795159824,-0.001746044278355,-0.0531015277465197,-0.122111551463604,0.283276733206328,0.176,0.544,0.047,29035,0.437,0.072,0.395,0.133,0.451,1.6798029,16,0.215835889570552,0.151873540013036,0.508656797659823
"8",0.0273199125873311,-0.32728837965592,0.0157337043648304,0.00298892880877278,0.0373489880908786,-0.0179711410271128,-0.0119864288646225,-0.0858053978641691,0.00869698974657621,0.00302289331424825,0.00244251725815814,0.0243303482668232,0.0136623334409757,0.00794316225445366,-0.299561589956284,0.112845046892205,0.201,0.553,0.059,27646,0.5,0.069,0.475,0.139,0.4372,1.1197232,17.1,0.179475866937263,0.683293157139473,0.508656797659823
"9",0.0273198817912333,-0.175590748887624,-0.181982199046367,-0.0367699177415826,-0.0577188261918612,-0.0351723297940786,0.0229463439586542,-0.0237883210621259,0.00618937693975635,0.00360900842137966,0.0541435669980093,0.00854253442592418,0.00366691432789627,-0.0494368894431467,-0.43404158949852,0.0961358386915537,0.259,0.457,0.081,28700,0.481,0.084,0.462,0.124,0.4528,0.7206221,15.4,0.217666666666667,-0.551678912962926,0.508656797659823
"10",0.0273199178910792,-0.359861326660009,0.0451166870050672,-0.0491644191986264,-0.0161097759139259,-0.0285825309396444,-0.031742170760752,-0.0524043855463918,0.00810624074835165,-0.00194288886656873,0.00234401308865498,0.00176562608772658,-0.00666341548666234,0.0745217161038182,-0.387296736240387,0.163676038135196,0.188,0.525,0.066,28876,0.513,0.052,0.482,0.144,0.4429,1.986376,25.7,0.132911682478574,-0.00193685172788882,0.508656797659823
"11",0.0273199001345453,-0.241160606749045,0.0834831700946978,0.0599627751042667,0.0488676979551564,-0.020921491078048,-0.0118691092807321,-0.0445907399640569,0.00754892063914543,-0.00748788922413783,0.0447196882272601,-0.00905065581969402,0.0194290190209225,-0.0407609399970675,-0.0845102667808533,0.159182517375863,0.157,0.576,0.056,29161,0.434,0.062,0.328,0.18,0.4535,1.3194333,20.8,0.217152533064848,0.268270188983378,0.508656797659823
"12",0.0273198898784221,-0.17060538798762,0.101223986073947,0.074053841188028,0.053938977872743,-0.0340847570743351,-0.0242552816934489,-0.0166948661203462,-0.0128219097602505,-0.0163493220970576,0.0167863840700789,0.00901516884561664,-0.00906916112664026,0.0392451057958847,0.0377026721835136,0.250404882181966,0.168,0.568,0.064,35169,0.361,0.048,0.388,0.104,0.4136,2.6043682,26.8,0.154498706737283,-0.31401928794405,0.508656797659823
"13",0.027319929747844,0.199498023697813,0.0976717428728361,0.0459928972857298,0.0205664100067871,-0.0293560153613954,0.0320759071246384,0.0537122112621057,-0.000504214400402304,-0.00148331053827127,-0.00105068648819118,0.00140158501885579,-0.0287194224031941,-0.0929478517091315,0.324177175760269,0.700657575967329,0.132,0.566,0.049,30073,0.522,0.098,0.37,0.131,0.457,2.1214492,23.4,0.237107103733041,0.36393343871336,0.508656797659823
"14",0.0273199013684691,0.173360417664753,0.16328352824053,-0.033346558124108,-0.0709701343880223,-0.0398312753761119,0.0113553728221817,-0.00175242157409135,-0.020165190656561,-0.0068072171237541,0.0256333884696783,0.00249322287668494,-0.0338163270769177,0.0278747155125245,0.224631413817406,0.537899676409077,0.15,0.529,0.083,27371,0.507,0.08,0.409,0.155,0.453,2.206663,27.5,0.163798465685258,0.195247699952353,0.508656797659823
"15",0.02731991670736,-0.359266240619002,0.0447131935548373,-0.0501169121369535,-0.0143931053680317,-0.0281113839303987,-0.0312019680047914,-0.0546660861893685,0.00999502057397861,-0.00288516541634414,0.00194890836800025,0.00171133938110262,-0.00694011143844694,0.0745958821113715,-0.387296736240387,0.163676038135196,0.188,0.525,0.066,28876,0.513,0.052,0.482,0.144,0.4429,1.986376,25.7,0.132911682478574,-0.00193685172788882,0.508656797659823
"16",0.0273199007386436,0.278013387991312,0.217928772674947,-0.0313088775033027,-0.0674608034671528,0.117203313107611,0.0610215057203531,-0.0207778711896128,0.0331547144647128,-0.00531616159465136,-0.0156628973682975,-0.000902970913352411,-0.0346635608965952,0.054029355073291,0.612577795982361,0.658392300490852,0.107,0.523,0.098,23326,0.539,0.079,0.458,0.21,0.4668,2.044127,23.3,0.160693223644047,0.422890455520238,0.508656797659823
"17",0.027319915909226,0.133735435553728,0.0821936367497224,0.045267725513018,0.0313330445045716,-0.0335023475413711,-0.0320652579635723,0.0694544749877541,0.00477553912596946,-0.00222195491180874,-0.0184042256845334,0.00022235161568205,0.0580158859401325,-0.072966061668142,0.293158143758774,0.554900872020484,0.15,0.599,0.058,36039,0.449,0.1,0.315,0.135,0.4815,2.2128358,20.5,0.257853022154994,0.531751369311062,0.508656797659823
"18",0.0273198854253541,-0.207389017334674,-0.227342891518629,-0.0342712057944204,-0.189832055994764,-0.0416120575118738,-0.0335693369155263,-0.0456536381216149,-0.0238241731134023,-0.00724628520407297,0.0152902991511227,0.0340876064484843,-0.00601822879841164,-0.0755855051759065,-0.815646588802338,0.200057405281286,0.275,0.475,0.083,28757,0.513,0.056,0.388,0.152,0.4234,1.0745845,26.6,0.29108327192336,-0.165436342573476,0.508656797659823
"19",0.027319900788708,-0.24126447962763,0.0833318395491916,0.0585970541720845,0.0469320482888473,-0.0199289529398066,-0.0116069538988009,-0.0423675957576382,0.00917518986565771,-0.00822441812826594,0.0439186316742388,-0.00877821138225729,0.0204752229357625,-0.0420895366394083,-0.0845102667808533,0.159182517375863,0.157,0.576,0.056,29161,0.434,0.062,0.328,0.18,0.4535,1.3194333,20.8,0.217152533064848,0.268270188983378,0.508656797659823
"20",0.0273198790870108,-0.178797182036438,-0.194274644061824,-0.0335807981244566,0.000603491762490804,-0.0430687246616568,-0.0482574953912268,-0.0475745419345864,0.10223251574118,0.00840703479947738,-0.0435827207476962,0.00153583467607278,0.0127400597005183,0.0209688581652567,-0.415328413248062,0.147442137989511,0.255,0.469,0.076,27582,0.494,0.069,0.5,0.161,0.4612,1.60642,19.1,0.161236253628224,-0.504745077881407,0.508656797659823
"21",0.0273199177021572,0.213189086420524,0.0889946955845545,0.049718460732418,0.0219865687888873,-0.0350205658410711,-0.00906901860587914,-0.0230767169787849,0.00715108241753953,-0.0185336772926628,0.00566094323779158,0.0123794471110345,-0.0163865998883765,-0.0537048498359263,0.270608752965927,0.619626597620346,0.152,0.585,0.06,35400,0.448,0.047,0.361,0.095,0.4207,2.7361581,33.2,0.189895122438342,0.26784829162749,0.508656797659823
"22",0.0273199266868535,0.20209548121034,0.087952618667294,0.0538895958702212,0.0243339302982207,-0.0331918788877043,-0.0234204505432173,0.0633649096148685,0.00567019387064767,-0.00379980657519623,0.0156847827916301,0.0112597200112728,-0.0730776698526216,-0.0265088203659201,0.331572502851486,0.737960456555874,0.133,0.607,0.061,34156,0.403,0.096,0.363,0.149,0.5002,3.3933132,31.8,0.204150635323381,0.691067543863593,0.508656797659823
"23",0.0273199174347811,0.214277296424726,0.0890176086377214,0.0502498758723402,0.0205278995736078,-0.0328823256512063,-0.0088588165450398,-0.0227757540284133,0.00461306748119779,-0.0163359708688255,0.00495996148301687,0.0107212747106383,-0.0161279271463197,-0.0540973339833124,0.270608752965927,0.619626597620346,0.152,0.585,0.06,35400,0.448,0.047,0.361,0.095,0.4207,2.7361581,33.2,0.189895122438342,0.26784829162749,0.508656797659823
"24",0.0273198952818424,-0.231066408272971,-0.194780027444054,-0.0133827530532319,-0.0315643189866207,-0.0488907348846553,-0.0166717809271304,-0.0710628150160489,-0.000780997314510007,-0.014968603358885,0.0115131822355758,-0.01451180773086,0.0130369161456233,-0.00307749966683033,-0.588887751102448,0.120340788072417,0.253,0.521,0.069,26482,0.499,0.07,0.454,0.104,0.3769,0.20060126,15.9,0.173857868020305,-0.439828689509485,0.508656797659823
"25",0.0273199068197478,0.128853184504885,0.135819575336642,0.0427120644165883,0.0163133661753443,-0.0377710478511711,-0.0323369547557442,-0.0239935568695676,0.00624564060151404,-3.6327679763689e-05,0.0239796678325107,0.0106313177430887,-0.0273181536934981,0.072200807836079,0.342619478702545,0.552767926074069,0.137,0.586,0.065,32751,0.38,0.055,0.37,0.147,0.4538,3.2062685,27.8,0.165749147707507,0.137246132401305,0.508656797659823
"26",0.0273199069980986,0.262986262582542,0.161996626308645,0.0228405901920356,-0.0226638556904511,-0.0270779431342291,-0.00671156936649045,-0.00280279930101267,-0.0174400160192605,0.00175894379621556,-0.00580036457960079,0.0125937462329667,-0.0497627540249781,0.0397769022378976,0.397013664245605,0.646807570085745,0.141,0.552,0.075,28596,0.469,0.088,0.382,0.137,0.4572,2.534918,34,0.16289673475172,0.581386611538734,0.508656797659823
"27",0.0273198951117326,-0.231434062011866,-0.193994889761322,-0.0126470387655868,-0.0305555735957226,-0.0471875030959259,-0.0160543308518512,-0.0713234858346554,-0.000710688181606668,-0.0165873666499128,0.00964504089996979,-0.0135349360699521,0.0127734012618945,-0.00459621579293757,-0.588887751102448,0.120340788072417,0.253,0.521,0.069,26482,0.499,0.07,0.454,0.104,0.3769,0.20060126,15.9,0.173857868020305,-0.439828689509485,0.508656797659823
"28",0.0273198991915994,0.075086391616454,0.0756322008586886,0.0595562869144707,0.0349606896064599,-0.0259053747515818,0.0727273546054781,0.0797646251951411,-0.0214107840312833,0.01594221813351,0.00336434914578266,-0.0126185102171222,0.050599793955021,0.149436949753309,0.584456086158752,0.358422768483926,0.172,0.603,0.04,30544,0.503,0.095,0.383,0.116,0.4355,1.3778843,19.2,0.130992254553067,0.531613957996645,0.508656797659823
"29",0.0273199001324559,-0.240276341966118,0.0836806737387061,0.0601543630695287,0.0483178027344706,-0.0200698530210914,-0.0117367383147646,-0.0426191126753802,0.0080545848112006,-0.00843376803684877,0.0429994072432631,-0.0119748235911997,0.020676782045175,-0.0406031371766024,-0.0845102667808533,0.159182517375863,0.157,0.576,0.056,29161,0.434,0.062,0.328,0.18,0.4535,1.3194333,20.8,0.217152533064848,0.268270188983378,0.508656797659823
"30",0.0273198804122639,-0.175515262332965,-0.183453631566925,-0.0352480625183521,-0.0579206282600701,-0.0373006196360922,0.0226816323613627,-0.0260656136956141,0.00548993255126217,0.0034715044471461,0.054997636143255,0.0107423936768193,0.00589245148544278,-0.0491332187728738,-0.43404158949852,0.0961358386915537,0.259,0.457,0.081,28700,0.481,0.084,0.462,0.124,0.4528,0.7206221,15.4,0.217666666666667,-0.551678912962926,0.508656797659823
"31",0.0273199284014817,0.199449190276409,0.0979535361187723,0.0468972455533672,0.0214487353851778,-0.0292972217983004,0.0333928468849811,0.0540600987045724,-0.00100652043108548,-0.00117550861098454,-0.00194974081891163,0.00104559187731581,-0.0299705869564641,-0.0939903885681939,0.324177175760269,0.700657575967329,0.132,0.566,0.049,30073,0.522,0.098,0.37,0.131,0.457,2.1214492,23.4,0.237107103733041,0.36393343871336,0.508656797659823
"32",0.0273198953602618,-0.231148473933537,-0.194048826257028,-0.0125067292005061,-0.0321196341221079,-0.0447631102360238,-0.0162892477775621,-0.0711862077469266,0.00066174951528581,-0.0164307038984957,0.00890310168216072,-0.0162846032734836,0.0128834924834637,-0.00387845572155126,-0.588887751102448,0.120340788072417,0.253,0.521,0.069,26482,0.499,0.07,0.454,0.104,0.3769,0.20060126,15.9,0.173857868020305,-0.439828689509485,0.508656797659823
"33",0.0273199006910082,-0.116269745494123,0.0546330368943666,-0.0123346011366244,0.039302641894072,-0.0248685878234227,-0.0156231161644307,-0.0417444560052667,-0.0129514333392534,0.00129244037531831,0.0311728233111217,0.000469041985418826,0.000714298689162122,-0.0532237902116214,-0.122111551463604,0.283276733206328,0.176,0.544,0.047,29035,0.437,0.072,0.395,0.133,0.451,1.6798029,16,0.215835889570552,0.151873540013036,0.508656797659823
"34",0.0273199187017704,0.223778873010997,0.0646385768602704,0.0365869827252887,0.0223105773203257,-0.0113982414060045,0.0524071118200297,-0.00784246028960522,-0.0424170766041735,-0.0216898316661898,0.000196137148914057,0.00808522946160238,-0.0232308235458668,-0.0391592471866164,0.289585709571838,0.594927088178787,0.154,0.681,0.042,68883,0.244,0.037,0.239,0.103,0.5099,4.2740474,33.8,0.613103589583476,0.263793206937372,0.508656797659823
"35",0.0273198736356386,-0.159102974159473,-0.414341197777974,-0.0327006385186057,-0.00356177504382621,-0.0561584199301925,-0.0301902141210569,-0.0338092963123435,-0.0116896713887675,0.0336701079961152,0.00364156454956963,-0.00437909318311393,-0.00243197107970926,0.0293898304975428,-0.654343843460083,0.13261480787254,0.33,0.36,0.075,31110,0.518,0.058,0.444,0.073,0.4427,1.2322272,37.2,0.0951650038372985,-0.412704940091349,0.508656797659823
"36",0.0273198851590298,-0.206684207926049,-0.226545576013912,-0.0331020276350502,-0.190464832049793,-0.0422543648963697,-0.0344067288551701,-0.0447073711044509,-0.0227589828688424,-0.0112769400987147,0.0145135793546406,0.0339392250517336,-0.00400839795967473,-0.0752098646452412,-0.815646588802338,0.200057405281286,0.275,0.475,0.083,28757,0.513,0.056,0.388,0.152,0.4234,1.0745845,26.6,0.29108327192336,-0.165436342573476,0.508656797659823
