"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0192624612881349,0.103826361412777,0.00895300723611724,0.034445608413966,0.0101672023167749,0.0369117109703132,0.0439867727106774,0.0134677557869899,0.0284817234904965,0.0224638042317143,0.0515622911409792,0.0786279840882231,0.0288280715782886,-0.0250287740073704,0.417431026697159,0.297062816776321,0.167,0.642,0.049,42347,0.369,0.03,0.385,0.104,0.4816,3.204676,30.4,0.200477738007877,0.447691595931773,0.724093443029068
"2",-0.0192624981334739,0.130766327477905,0.0182710346298583,-0.00952159614525266,-0.00557525138180661,0.00927593377052189,-0.013035281659117,-0.0039684022534845,-0.00414281273104689,0.0319542678623399,0.0562477948914945,-0.0741808234185862,0.0773461258082203,-0.00173735919021829,0.192437455058098,0.284852761062889,0.185,0.539,0.075,30446,0.482,0.056,0.495,0.152,0.4654,1.8916187,30.6,0.135483270221615,0.430148228680615,0.724093443029068
"3",-0.019262497894079,-0.274399646113946,0.0118353964933519,-0.0236205635586894,0.0124633614735424,-0.0333156403189668,-0.0425245429668064,0.017240392866635,-0.0142561282103996,0.00412084105141056,0.0318502844828334,-0.0495763322189678,-0.0297200680686936,-0.0374057042468785,-0.446570843458176,0.052896725440806,0.201,0.566,0.041,28270,0.496,0.176,0.423,0.119,0.448,1.8673182,22.3,0.17419125488802,-0.554246997007524,0.724093443029068
"4",-0.0192624909048577,-0.28390405909223,0.0114361124441919,-0.0147048459363531,0.00195528263295704,-0.0328948994311328,-0.043512811470878,0.00694854597527804,-0.0276644644709152,0.0143446179057283,0.0340520811018137,-0.0578937769691227,-0.0325877360881998,-0.0500305615630136,-0.493719011545181,0.0356422096801778,0.22,0.567,0.038,30617,0.475,0.07,0.442,0.104,0.4475,1.6503111,24.8,0.152777777777778,-0.869922025936985,0.724093443029068
"5",-0.0192625061245304,-0.15093307484062,0.00320831563399255,-0.0951357816937398,-0.0022817702055919,-0.00880080788894586,-0.0174406264615325,0.00482468150566797,0.0168936741160584,0.0129349915948835,0.0549114412226275,-0.0542536511307228,-0.0544531005851401,-0.0822273347093501,-0.392015546560287,0.18376686411633,0.166,0.465,0.07,25406,0.478,0.051,0.509,0.178,0.4529,1.487183,20.1,0.158120791134207,-0.984076752187985,0.724093443029068
"6",-0.0192624509690051,0.0882867038702948,0.0108339196765577,0.0344195973815825,0.016077575639503,0.0160335515309563,0.0128214953964246,0.013298881503509,0.0289816982997171,-0.00189003407103894,0.0386558518764813,0.0463808267864903,0.0517201735099277,0.0476468117680501,0.384004563093185,0.250900509253509,0.166,0.659,0.042,53889,0.26,0.018,0.329,0.063,0.4766,3.2514684,35,0.269773471208633,0.231242018066675,0.724093443029068
"7",-0.0192624816905794,-0.0922566453091532,0.0101255123278354,-0.0100408059108594,-0.000110894575365624,0.0371611731359876,0.0486303576591716,0.0133719876144404,-0.0296719262771148,0.0197879257430837,0.0344352874563305,-0.0954836600031886,0.0982706873061818,0.00559551856284648,0.0205520205199718,0.22261466011466,0.262,0.557,0.042,36813,0.404,0.052,0.44,0.115,0.4773,1.8457599,27.2,0.21423870118473,0.171225202549979,0.724093443029068
"8",-0.0192624809100409,-0.0926094898754052,0.0105517218643902,-0.010073909536368,0.00111415953576409,0.0371189444398114,0.0497074631165952,0.0146026868193725,-0.0296936201361446,0.0212955712814695,0.0323022809230364,-0.0965342255337971,0.0960187941031406,0.00601414008363202,0.0205520205199718,0.22261466011466,0.262,0.557,0.042,36813,0.404,0.052,0.44,0.115,0.4773,1.8457599,27.2,0.21423870118473,0.171225202549979,0.724093443029068
"9",-0.0192624970483641,0.130587534140252,0.0177160834688081,-0.00846478310655044,-0.00746505595167026,0.00926279128944598,-0.0113631978686375,-0.00500224944479923,-0.00509574489009376,0.0328604257185397,0.0575533535055398,-0.0746127088140499,0.0789466555778487,-0.00322314708057161,0.192437455058098,0.284852761062889,0.185,0.539,0.075,30446,0.482,0.056,0.495,0.152,0.4654,1.8916187,30.6,0.135483270221615,0.430148228680615,0.724093443029068
"10",-0.0192624731601459,-0.0965231784102497,0.0126099208424359,0.0339506869219046,0.0333737065948224,0.0402108746963924,0.0256281061886475,0.0230407951620671,0.0608251886410332,-0.0191317694369884,-0.0583652011664663,0.00298192197132782,0.065574561535244,-0.0246710443542937,0.0802420750260353,0.183248002115962,0.176,0.632,0.059,39802,0.388,0.057,0.371,0.076,0.4185,2.4701886,36,0.138239377950569,0.225986077760584,0.724093443029068
"11",-0.0192624978435271,-0.223701665849493,0.0126876852793925,-0.0501927214286398,-0.00739744518991173,-0.0292823666034323,-0.0376482847298006,0.00141527628563617,-0.00311518079662964,0.0147603683645892,-0.0144247926726496,-0.0204503061000992,-0.0181825426379293,-0.0283026277541643,-0.423097103834152,0.136319186387639,0.174,0.526,0.054,26298,0.497,0.051,0.491,0.137,0.4208,2.013396,25.7,0.177465432521998,-0.0048140240848471,0.724093443029068
"12",-0.0192624485887917,0.22722385415203,0.00448881175863491,0.0275117258032354,0.0174506647053473,0.0386069400695745,0.00441566658785553,0.0089128906757804,0.0263722475394668,0.0127339615452729,0.0295671333623882,0.0461057801023519,0.016145785754305,0.04026622967881,0.480539202690125,0.502932686819489,0.149,0.604,0.061,43086,0.34,0.077,0.384,0.116,0.5025,3.2140737,28.3,0.242449550040905,0.469619567913886,0.724093443029068
"13",-0.019262497937144,-0.152340365732389,0.0115831873769822,-0.0758385952734436,0.0186796979323603,-0.0136396491530968,-0.0163635589828392,0.0064341653994832,-0.0206160993591268,0.0321566566172226,-0.00874356805378789,-0.0449539763360706,-0.0885736176938779,-0.074691566257223,-0.446169793605804,0.183628436220556,0.132,0.491,0.062,26194,0.457,0.053,0.453,0.14,0.4207,1.9373771,18,0.166788559990762,-0.894942291489313,0.724093443029068
"14",-0.019262448424583,0.226890660467824,0.00579090733655328,0.0271330191647482,0.0178588575916468,0.0383495344161441,0.00677893015236347,0.00759868107139277,0.0267170757063906,0.0113917833986642,0.0298430722419656,0.0445494428172357,0.0150466401166126,0.0418530871396971,0.480539202690125,0.502932686819489,0.149,0.604,0.061,43086,0.34,0.077,0.384,0.116,0.5025,3.2140737,28.3,0.242449550040905,0.469619567913886,0.724093443029068
"15",-0.019262430530433,0.223514747481379,0.0137534444767837,0.0324490621013673,0.00660823491697686,-0.00231321173495323,-0.00153510677489418,0.00433261913958038,0.0280988865602709,0.0256175469122964,0.0276658153951518,0.0359436509409766,-0.0228887952154557,0.0480638416281713,0.40004825592041,0.63421507385052,0.121,0.651,0.069,56147,0.213,0.037,0.32,0.162,0.5269,4.0623565,30.8,0.598607975519201,0.335096093823523,0.724093443029068
"16",-0.0192624686584821,-0.251129560899104,0.00500921273668079,0.0298572886714483,-0.00211090814782186,0.0268175016338519,0.0177865265671372,0.00477242043085603,0.0356998706418585,-0.0201886375816034,-0.0480099904765115,0.00243248675557663,0.0574481458816801,0.0324023498774891,-0.128475785255432,0.109517647690207,0.164,0.645,0.033,42083,0.332,0.029,0.366,0.052,0.4003,2.5755453,36.2,0.0908017092631408,0.00438089165890432,0.724093443029068
"17",-0.0192624904017897,-0.283634767823504,0.0100174587507257,-0.01676137700962,0.000582314975949384,-0.0337846001968029,-0.0414476193598682,0.0071699833455564,-0.0269203950325866,0.0138885144052393,0.0372043636962922,-0.0574305526328853,-0.0330885679648539,-0.0502512705744112,-0.493719011545181,0.0356422096801778,0.22,0.567,0.038,30617,0.475,0.07,0.442,0.104,0.4475,1.6503111,24.8,0.152777777777778,-0.869922025936985,0.724093443029068
"18",-0.0192624607335242,0.104021629540708,0.00993746273039527,0.0340125499263094,0.0110051707846539,0.0353841728690051,0.0424306318231105,0.0146850008682883,0.0300320168703793,0.0225020331515431,0.0496605620070993,0.0788569227654102,0.0285958603649898,-0.0244304949105286,0.417431026697159,0.297062816776321,0.167,0.642,0.049,42347,0.369,0.03,0.385,0.104,0.4816,3.204676,30.4,0.200477738007877,0.447691595931773,0.724093443029068
"19",-0.0192624950199919,-0.307960786558368,0.0166942374406073,-0.0376030306695485,-0.00905453807698976,-0.0461281895177636,-0.0382200405475466,0.00499345826520095,0.00681961249131479,0.0188167301750552,-0.0298166558608897,-0.0129125308009879,-0.0325320518184291,-0.00309537423006292,-0.489261656999588,0.0730529769227901,0.19,0.56,0.051,27443,0.478,0.048,0.488,0.149,0.4234,2.0323946,24.7,0.139434276206323,-0.160600152358249,0.724093443029068
"20",-0.0192624639380383,-0.0995404145242121,0.00820939214896283,0.0235285266950105,0.0085452538035849,0.0468436223306259,0.0210999505319253,-0.0122095495175257,0.0460724586630434,-0.0217284698047599,-0.0522286955164368,-0.00103470426008513,0.0532620790111417,-0.0215806402017101,-0.0200236830860376,0.212851893467764,0.167,0.627,0.046,47448,0.349,0.037,0.364,0.05,0.4229,2.630298,39.6,0.173136786295262,0.289225518715783,0.724093443029068
