"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.00172570208579413,-0.000103193042598122,0.0116318285366186,0.00718518236014667,-0.00960000720009876,0.0171278107551465,0.0127189111759456,-0.000846476574651879,-0.00758711859815999,0.00425782663558687,0.00589433267850461,0.0103656124903013,-0.0107877197268265,-0.00475174586138111,0.0337795354425907,0.793777565860055,0.163,0.435,0.146,18513,0.61,0.163,0.65,0.364,0.5413,1.2848401,23.8,0.241593567251462,0.0864711776657194,0.3154670797671
"2",-0.00172571011841841,0.010303636684107,-0.142803695516243,-0.0278836331179124,0.0013242430501516,-0.0105837692375537,0.00260646127453678,0.00427414679895365,0.00339523257290925,-0.00441502390473499,0.00794915053455513,0.0145020129478949,-0.0255518530013093,-0.00218772645074752,-0.170796528458595,0.243311227989938,0.29,0.572,0.041,30099,0.478,0.183,0.526,0.223,0.5252,0.5399373,25.5,0.214788732394366,-0.128191254712303,0.3154670797671
"3",-0.00172570464194743,0.00600179561139746,0.0142060803532186,0.00450283622441009,-0.0103960769298221,0.023892689292681,0.00950701292238851,0.0553620786254158,0.00145497419577428,-0.00124493674026891,-0.00414605740174688,0.000688307809765072,0.014221580982384,0.00127771250027753,0.113602288067341,0.88757643135075,0.137,0.453,0.138,14888,0.585,0.276,0.55,0.27,0.465,1.5582657,21.5,0.126738388874311,0.0392397647346652,0.3154670797671
"4",-0.00172571143190767,0.00340999188891393,0.017479783500279,0.0131624709684543,6.17387154924166e-05,0.0414211627727385,-0.00994336715563915,0.00335854906581673,-0.00405678715375815,-0.00152438703374149,-0.00846331902016904,0.0224557008093043,0.0224968242257322,-0.00260259396300493,0.0955300554633141,0.254564067565262,0.175,0.415,0.064,18907,0.465,0.17,0.509,0.202,0.4345,0.95109576,21.8,0.142197125256673,-0.0123316846059591,0.3154670797671
"5",-0.00172571306883303,0.00287582103659077,0.0198058880074438,-0.00307154321171749,-0.00187791283197048,0.0203460962821978,0.0106998016668796,0.00237030132361603,0.00446331764557541,-0.000885628393741972,-0.000720536252605731,-0.0155901314610213,0.00339552695791657,-0.00253942089228081,0.0375458672642708,0.321365526733088,0.179,0.529,0.075,23004,0.531,0.117,0.527,0.203,0.46,1.9757037,24.9,0.144019207338923,-0.0674545736946275,0.3154670797671
"6",-0.00172571465248867,0.0258522963124551,0.0192333087657233,0.00436169413150198,-0.000475438176640024,0.0225725501532123,0.0139968373397557,-0.0295883343775627,0.00426330150105029,-0.00131982021022247,-0.00386807170911118,-0.0121951627990176,0.0180001620808942,0.0142348026510222,0.0733424127101898,0.0795450873962069,0.186,0.468,0.065,22612,0.555,0.058,0.537,0.152,0.4383,1.816384,24.4,0.117437722419929,-0.0450483174203504,0.3154670797671
"7",-0.00172570495617824,-0.00353031147308507,0.0123017547317105,0.00803704796302425,0.00773727707068124,0.033253261587673,0.00283667380023209,-0.000804264344282482,-0.00262539836936292,0.00477966622898706,0.0123330591194362,0.0110067579031674,0.0604284716411769,0.0225569360796063,0.166585221886635,0.778112381082746,0.138,0.424,0.081,18419,0.495,0.145,0.548,0.368,0.5857,1.6761464,15.5,0.082105719237435,0.121761960535815,0.3154670797671
"8",-0.00172570998152671,-0.00783042420714554,0.014739943909301,-0.00949666958319302,-0.00134316189669204,0.0321282398703532,0.0181474538690589,0.00588295771347195,-0.00125712692008329,-7.82659875639535e-05,0.00413146416374939,-0.0240280776352249,0.0595673168372272,-0.00116065085520158,0.0876772850751877,0.559286060464261,0.122,0.575,0.034,22568,0.557,0.221,0.484,0.204,0.4772,2.1114514,18.5,0.154693980877456,0.232696435964011,0.3154670797671
"9",-0.00172570422361464,-0.000105467772341941,0.0114153244536365,0.0149669314760266,-0.0297488256465148,0.0233259965220138,0.00429232068611092,0.0019111666983266,-0.00271056621700196,0.00450981979705633,0.00342211181233095,0.00606754069778952,0.0639155075067837,-0.00572529455530074,0.0938108563423157,0.762305105472333,0.129,0.393,0.137,15646,0.513,0.144,0.603,0.317,0.5064,1.5561414,18.8,0.171315234907648,0.137531742142166,0.3154670797671
"10",-0.00172570778927793,-0.0127336525949907,0.0130895365942335,-0.000760954683767424,0.0058774820804751,0.0172207596946435,0.0082166104192465,0.000112582774013121,0.00240921881091198,0.0012456196538377,0.00701418775731143,-0.0296079698874535,0.0657642123498649,-0.00904832974723057,0.0670735910534859,0.560068471833178,0.187,0.516,0.06,22836,0.519,0.112,0.526,0.239,0.5028,3.0591195,19.4,0.186046511627907,0.120330567221381,0.3154670797671
"11",-0.00172571684875212,-0.0534009191586948,-0.0884474241140945,0.00183212109651165,0.000249278613035326,0.0298660702206604,-0.0188274568773495,-0.0225751873999742,0.00422941004846284,-0.00534421644193368,-0.00410282041524826,-0.00450958261309572,-0.000287757508632745,0.0153591909946078,-0.147685006260872,0.0059066745422327,0.269,0.445,0.049,24907,0.432,0.04,0.534,0.2,0.4628,1.4909883,26.6,0.117971334068357,0.309394644456499,0.3154670797671
"12",-0.0017257195965164,-0.00386763533184096,0.0149439386186975,-0.0391261972221983,-7.07676595300914e-05,0.076774110432743,0.0245967880439488,0.00552539023727661,-0.00162122600205836,-0.000900039393596274,-0.0362061194803362,0.0213472587443233,0.0727722881442525,-0.00681552322777782,0.125626549124718,0.560346070656092,0.11,0.695,0.027,22003,0.578,0.189,0.461,0.196,0.3852,0.9907595,14.6,0.206799662826637,0.236117805118253,0.3154670797671
"13",-0.00172571239121459,0.0313515087896331,0.0232079358806096,0.00258731769122448,-0.0035115467155619,0.0272581043195646,0.0155434921419012,0.00289111878275057,-0.00445319272149482,1.56935149378361e-05,-0.00285577290794347,-0.0109951048139199,-0.00105680809725713,0.0116869194645391,0.089943952858448,0.159688311688312,0.168,0.503,0.065,22268,0.566,0.158,0.473,0.221,0.4682,1.7572016,24.9,0.116370010787487,0.132132749081184,0.3154670797671
"14",-0.00172571003630872,0.00243150818674269,0.0203466239847838,0.0245555327388769,-0.0120414578227173,0.0304750139380861,-0.0107685111671315,0.00232345239077638,-0.00230507461304978,-0.00518990645775789,-0.011442690840081,0.0187198710596604,-0.0228626170170454,-0.0163004084651092,0.0162156242877245,0.277317698790766,0.134,0.294,0.119,16006,0.445,0.159,0.536,0.184,0.4195,1.2801616,31.1,0.224007561436673,0.043983465497901,0.3154670797671
"15",-0.00172570693923631,0.0288943936203436,0.00909647769342337,-0.00297237778010187,0.00384377428380856,0.0489759158253734,0.00170829050730722,0.0562123083804197,-0.00366502070610602,0.00293574898285366,0.00350563739751862,-0.0227359703093973,-0.0231166222316799,-0.0017000296083364,0.0992568135261536,0.938618483212812,0.108,0.543,0.069,17175,0.486,0.303,0.548,0.297,0.4867,2.7427478,22.5,0.142330083206157,-0.0579379241587885,0.3154670797671
"16",-0.00172571524926628,-0.0104484345776087,0.0143295330815454,-0.0118864251174851,0.00530088837481132,0.0107728065885822,-0.0137709176585811,-0.00484110393737709,-0.000756348574974404,-0.00146451614583496,-0.00556570313736081,-0.0541028237129405,0.00327981627619351,-0.0173626192055034,-0.0882415622472763,0.570825889254368,0.127,0.574,0.062,28294,0.439,0.112,0.456,0.153,0.4438,3.4145985,23.3,0.190813887307911,-0.243836567057916,0.3154670797671
"17",-0.00172571703431964,0.032281940896464,-0.0309748367237376,0.00223412602449121,0.000377187110927021,0.0205158562177371,-0.0129330364448398,0.00718076377840583,0.000680834406777529,-0.00192609419206637,0.0115209229794302,-0.000315431619717778,0.00220705326540788,0.0127223888922525,0.0418459624052048,0.0858291973301386,0.234,0.467,0.093,23857,0.457,0.091,0.532,0.176,0.4923,1.5432225,25.4,0.0947441217150761,0.276918798533266,0.3154670797671
