"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0318812873612788,-0.23890466276312,-0.0112589243190986,0.0381819325645196,0.00710883578985481,0.0267601021167466,9.96944711711117e-05,-0.00314848114899112,0.00643546857332332,-0.00502416690291769,0.0205353804427499,-0.0383903745016511,-0.0225916293139372,-0.0156264676339695,-0.267704606056213,0.130989785625674,0.257,0.448,0.086,25167,0.475,0.08,0.471,0.181,0.4513,1.7274576,19,0.154160982264666,-0.273900662833609,0.702436781312661
"2",-0.031881287532528,-0.239206287368485,-0.0113428508649634,0.0376470556066996,0.00626632422758168,0.0271144693483914,6.886312812052e-05,-0.00305788976664654,0.00646894012860345,-0.00494034664854031,0.0211441874727721,-0.0384951454257622,-0.0223875180442481,-0.0151030942602827,-0.267704606056213,0.130989785625674,0.257,0.448,0.086,25167,0.475,0.08,0.471,0.181,0.4513,1.7274576,19,0.154160982264666,-0.273900662833609,0.702436781312661
"3",-0.0318813088662214,-0.192192998834472,0.018588737215563,-0.000394308253445184,0.0237196515827585,0.0341562720914076,0.0100388935269417,0.00197014672584062,0.00522443888869673,0.00817693845511672,-0.00401315113742619,-0.021750295213067,-0.00958301761915327,-0.0408239865728814,-0.198763996362686,0.144800777453839,0.214,0.547,0.053,29757,0.466,0.081,0.418,0.1,0.4121,1.6863816,20.3,0.227718862815884,-0.365218292856774,0.702436781312661
"4",-0.0318812940571319,-0.266172727773959,-0.0961048009287301,0.0318412277646615,0.0258538536371043,0.105921939553104,0.0122623770441486,0.00430977674253315,0.00616521734205801,0.00443802233798548,0.0435518497248133,0.0155399931547975,0.00300740641663408,-0.0242241689142398,-0.165491342544556,0.127208480565371,0.358,0.38,0.068,21702,0.502,0.052,0.504,0.14,0.3839,-0.1100185,24,0.358916478555305,-0.388223327636999,0.702436781312661
"5",-0.0318813050518875,0.158266539625893,0.0306660500647339,-0.00442854884056835,0.0304040789708816,0.0253769390939647,0.00152924809155502,0.00828736451072212,0.00351341010998572,0.0110609312747612,-0.00203187700813339,0.00404187456274867,0.00690863770099573,0.0276637226990482,0.269377052783966,0.448074908328968,0.123,0.521,0.072,25583,0.492,0.072,0.392,0.155,0.426,2.0950701,30,0.154303251926342,0.223973648287107,0.702436781312661
"6",-0.0318813027867783,0.0885462357705228,0.00235454454888606,-0.0161493919202133,0.00158899578294099,0.0116014941709384,-0.0179583080443931,-0.00281485405164724,0.00419205448310179,-0.00797505966592509,-0.0238958019105302,-0.00122299978192612,0.0101884434878948,0.00369989270079866,0.0202739294618368,0.280226909400089,0.18,0.518,0.081,29506,0.421,0.062,0.407,0.191,0.4944,2.1268995,20.9,0.184472483221476,0.0555394322862601,0.702436781312661
"7",-0.0318813063066449,0.0933578496470362,0.0213031354541986,-0.00306959589192766,0.0112173955529806,0.0559636999894027,0.0120819378582243,0.00552427827752509,0.005797036859383,0.0155523244896379,-0.00345662398175257,0.0155290117582616,0.00229193449914121,1.02056223360309e-05,0.2002212703228,0.345326388745764,0.153,0.581,0.055,27338,0.469,0.08,0.44,0.142,0.4265,2.4692643,24.2,0.179230395322977,0.0620137551804718,0.702436781312661
"8",-0.0318813124835074,-0.129276526981646,-0.00649355797887291,0.00453599012510905,0.0231247863741462,-0.00404255395992865,0.00124104317636827,0.00103986243097214,0.00237483672259611,0.0107825085214283,-0.0104053347391568,0.0018450618332956,0.00867402029671409,0.0141309687068354,-0.114350214600563,0.210772526163725,0.169,0.587,0.057,32267,0.43,0.062,0.331,0.141,0.4406,2.0364585,22,0.17592123984225,-0.309208700257533,0.702436781312661
"9",-0.0318813049420435,0.158305148827724,0.0306030016007696,-0.00421695327199907,0.032141330536964,0.0254570572351003,0.00213441119064371,0.00621913918824916,0.00379001280381405,0.0108721484800719,-0.00231092771717865,0.00356097894451178,0.00678096297740969,0.027922059839626,0.269377052783966,0.448074908328968,0.123,0.521,0.072,25583,0.492,0.072,0.392,0.155,0.426,2.0950701,30,0.154303251926342,0.223973648287107,0.702436781312661
"10",-0.0318813183809276,0.167886078630431,0.000495890142084561,-0.00899201748463088,-0.0039449998841847,-0.0235501620105304,-0.0498263866559096,0.0107487089939061,0.00456038850931305,-0.0150265929146748,0.0156959014622183,-0.00137258659187169,0.00453252943045968,0.0553008209530404,0.124626249074936,0.594117064030676,0.144,0.625,0.046,41514,0.343,0.076,0.32,0.109,0.4685,3.6026695,28,0.152958363582122,0.240635187049849,0.702436781312661
"11",-0.0318813052279666,0.092684053096485,0.0207818425404622,-0.00320394842860734,0.0108689071557007,0.0570709247494128,0.011328997854238,0.00541923876843389,0.00640020572231821,0.0155495116207507,-0.00298679335832529,0.0149219593529371,0.00261439790734629,0.000653292221254625,0.2002212703228,0.345326388745764,0.153,0.581,0.055,27338,0.469,0.08,0.44,0.142,0.4265,2.4692643,24.2,0.179230395322977,0.0620137551804718,0.702436781312661
"12",-0.0318813026074741,0.162817273634106,0.0251637040191204,0.00123171220408443,0.00720593170964428,0.0185570367057235,0.0394658268191992,0.00501579471641991,0.00330410884735417,0.015993131212308,0.021197807193465,0.00290968202091457,0.00483519650917918,-0.00162281090381089,0.274193078279495,0.537899676409077,0.15,0.529,0.083,27371,0.507,0.08,0.409,0.155,0.453,2.206663,27.5,0.163798465685258,0.318398545168296,0.702436781312661
"13",-0.0318813083537263,-0.182723917885419,0.0206056812772798,-0.00949199510609392,0.0171890377056782,0.0491195257714132,-0.00390398483231343,0.00365098700251979,0.00704685422244326,0.021961111601879,0.00242274349114241,0.0421410299425156,0.0157928690179182,-0.028360205303996,-0.076431579887867,0.129627081326545,0.239,0.5,0.087,26370,0.392,0.059,0.484,0.105,0.4314,-0.13697897,14.6,0.211913728175282,-0.191296303569208,0.702436781312661
"14",-0.0318813002521045,-0.0992919120170266,0.0344196092027908,0.0401248689008475,0.0141623938274143,0.0378858781555311,-3.08590799215722e-05,-0.00248533888991807,0.0044751178668831,-0.00418614783068946,0.00289065086855063,0.0212699529759845,0.0128878192189048,0.107686484508997,0.137927204370499,0.22308296845178,0.27,0.401,0.086,22843,0.494,0.125,0.44,0.188,0.4003,0.35013175,16.1,0.131119479630264,0.0883149136720656,0.702436781312661
"15",-0.0318813138051854,0.142573253488184,0.00481874840359181,-0.00881566497729448,-0.00538255277000476,-0.0222467534150562,-0.00811372910470327,0.00762869131607698,0.00586818648188169,-0.0148940675053546,-0.0059438604029973,-0.0109383928225482,0.00381899150011571,0.0471966661800265,0.103688195347786,0.545810450828137,0.151,0.617,0.051,38595,0.401,0.088,0.337,0.089,0.4455,2.6619718,27.2,0.153061274521821,0.255454565941338,0.702436781312661
"16",-0.0318812955998662,-0.298040498297247,-0.101750775606293,0.0235035107068213,0.0157403130855635,-0.0172478208847123,-0.00103791876583565,0.0121652923528883,-0.00157792265687509,0.00144166614493964,0.0112458088562455,-0.00511448849668217,0.0088368778147259,0.00672465560165173,-0.376992613077164,0.116157903148474,0.353,0.417,0.057,36598,0.425,0.054,0.344,0.13,0.4689,1.2519689,24.5,0.163034001743679,-0.713811962455115,0.702436781312661
"17",-0.0318813084604549,-0.18205187061376,0.0206285464748592,-0.00765921203423166,0.0174492979854851,0.0485319382237994,-0.00426266303559368,0.0030004708294651,0.00729573477587033,0.0225664602798311,0.00213776301299152,0.0415074374314208,0.0164216750495325,-0.0301158414013189,-0.076431579887867,0.129627081326545,0.239,0.5,0.087,26370,0.392,0.059,0.484,0.105,0.4314,-0.13697897,14.6,0.211913728175282,-0.191296303569208,0.702436781312661
"18",-0.0318812966284041,0.244859817923289,0.0231643873391113,0.00180358343267972,0.0204080288329111,0.0452270671911901,0.0247694077880309,0.0023051367733903,0.00515053786283877,-0.00590590822807395,-0.00536201902402448,-0.00119033264821849,0.00247465958400981,0.00664736434512831,0.332470417022705,0.714837474940355,0.112,0.534,0.095,21380,0.539,0.081,0.429,0.238,0.4728,1.9851329,22.6,0.173974890578208,0.318196833821574,0.702436781312661
"19",-0.0318813441871108,0.150240810294869,0.00568399941842152,-0.0243027355158392,0.102386149881802,-0.148115589094269,-0.0587635665170311,0.000415932556677935,0.00348437235142263,-0.00901420776898925,0.000432016413656464,0.00281355265101487,0.00279944297109716,-0.0105651787387577,-0.0143863260746002,0.594927088178787,0.154,0.681,0.042,68883,0.244,0.037,0.239,0.103,0.5099,4.2740474,33.8,0.613103589583476,-0.116718881624192,0.702436781312661
"20",-0.0318813439559654,0.150008274899565,0.00595645556273243,-0.0242743259512418,0.102470386537221,-0.1485315416545,-0.0590929907410951,-0.000700417599904972,0.00413666553918795,-0.00963183097330677,0.00167906057984117,0.00319115403975452,0.00351647664186313,-0.0112323681087501,-0.0143863260746002,0.594927088178787,0.154,0.681,0.042,68883,0.244,0.037,0.239,0.103,0.5099,4.2740474,33.8,0.613103589583476,-0.116718881624192,0.702436781312661
"21",-0.0318812981798158,0.123053556274353,0.0207129809815651,0.0121027703971403,0.00905273585778615,0.000474338647613232,0.0487449958402549,0.00682439957971858,0.00527162988503934,-0.00481459096804573,-0.0180262073054261,-0.00983113135752793,0.00981458681109249,-0.00829369311714305,0.163205057382584,0.294991821792975,0.223,0.464,0.087,27362,0.529,0.071,0.432,0.186,0.4817,1.709625,30.7,0.169150809673124,0.00725000438666878,0.702436781312661
