"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",0.193674559496407,0.343765040559205,0.0238452459291851,-0.0270990191281054,0.0441954580648294,0.021714614506451,-0.0326928286850062,0.0644041654230173,-0.0264727391316343,0.0669980329044405,0.0524268249385446,0.152616969562898,0.0632543059026792,-0.0189108799902881,0.921719789505005,0.6142519483838,0.19,0.464,0.083,20160,0.527,0.128,0.506,0.227,0.5265,1.7969916,30.8,0.180693286529179,0.59198548571896,0.210474012176884
"2",0.193674581307251,-0.6558055965754,-0.0416207983333031,-0.00346756132089462,-0.0315422576870006,-0.0508367441722472,0.01278142777133,0.0240562228103728,0.0252946396792624,-0.016180738913837,0.0658868964271892,0.0561282009854434,-0.0323439669526858,-0.0230427711891513,-0.477018445730209,0.0381662213472086,0.203,0.497,0.063,27722,0.41,0.049,0.573,0.169,0.4622,2.0081406,23.7,0.109284540061468,-0.934599017650548,0.210474012176884
"3",0.193674560769648,0.106237743802755,-0.0829556936395592,-0.000954647300408337,-0.0278503908801395,-0.0489907382714904,-0.0243670569440396,0.0733430825255563,-0.00336968344583241,0.0231792761556411,0.110311864888393,-0.0122781443478394,0.0552513647119145,-0.033291798799535,0.32793977856636,0.396756904069767,0.202,0.507,0.077,28180,0.505,0.094,0.519,0.209,0.5435,1.5910337,31.5,0.16324187808518,1.17885671154223,0.210474012176884
"4",0.193674571467499,-0.395898721521647,-0.129727796330678,-0.0361582975123997,-0.0267064517675639,-0.00335178594798996,-0.016066630272251,0.00462909415787459,-0.0220840443387952,-0.0210289876516275,0.0530418875800294,0.0488434825519518,0.0339116488386182,-0.0365192661041732,-0.353441268205643,0.063025563403969,0.213,0.468,0.073,22952,0.562,0.123,0.523,0.176,0.4752,1.5859982,31.4,0.171218961625282,0.551471603280161,0.210474012176884
"5",0.193674581497412,0.0727756746680773,0.0382457172571237,0.0201288914001596,-0.0384309685892617,-0.0235882302406675,0.00892941743395408,0.00794975015272245,-0.0256376978477271,-0.0508968251421466,-0.0507505387038175,-0.0202673200905619,-0.022276971083588,0.00806520551527781,0.117920711636543,0.399742208012691,0.113,0.673,0.04,40982,0.27,0.084,0.363,0.091,0.4441,3.1244142,25.5,0.114366544856995,-0.035547743456909,0.210474012176884
"6",0.193674585973437,0.220692002870594,0.0172491000867501,-0.0340834851652207,-0.025991468848826,-0.0486271905462543,0.003930215603049,0.0233353098565714,-0.0270324730290352,-0.0828584486021711,0.0307046559251756,0.0225150819447121,-0.0532015225719776,-0.0951307928548372,0.145175591111183,0.576851737055648,0.123,0.588,0.065,30175,0.36,0.09,0.426,0.162,0.4817,2.739559,22.1,0.197604731346155,0.460060510576067,0.210474012176884
"7",0.193674555440251,-0.349137024883506,-0.0518629811297318,-0.0143661531683803,-0.0179322439413474,-0.0500786312275216,-0.0293877155700606,0.0560379301191614,-0.0356216058845506,0.00228946723907466,0.0414448355284763,-0.0352292983995881,0.0208799917679388,0.0329078515042425,-0.236380979418755,0.0853730949396319,0.238,0.461,0.044,27338,0.525,0.065,0.48,0.197,0.4595,1.5221301,25.6,0.103943272224144,0.225537744320442,0.210474012176884
"8",0.193674552977496,0.315423223902243,0.0349316567688204,0.00700615208282698,-0.0417163382907075,0.0468870403403434,-0.0381973836311113,0.0936413439475143,-0.0195965329082089,0.107715775542251,-0.060744315208856,-0.002198883848175,0.0119288006794702,-0.00280506072369921,0.645950078964233,0.527309058614565,0.15,0.541,0.044,22173,0.596,0.123,0.523,0.222,0.447,1.4323945,27.8,0.0882065748074211,0.574250204717146,0.210474012176884
"9",0.193674562145888,-0.0300679458210407,-0.00271213797148986,-0.00120409828326628,-0.0281473104670035,0.0486154042735512,-0.0458921822793801,-0.155254083057978,-0.00515161359299478,-0.0328687214251359,-0.057387229762982,-0.000555351376097068,-0.0296730807403362,0.0377520219162792,-0.108871728181839,0.286550993483389,0.175,0.489,0.056,20902,0.53,0.18,0.496,0.207,0.4497,1.4965138,24.3,0.116803710731604,-0.456624873810104,0.210474012176884
"10",0.193674589426223,0.295612711617417,0.0249356471364648,-0.0642345384284585,0.0295711655627848,0.0138563085216459,-0.030311978840156,0.0582876746433327,-0.0216842484580778,0.0415536057099478,-0.0480978522618271,0.0503658484348539,-0.0797298171260009,0.000963621840290058,0.46476274728775,0.61115441240149,0.168,0.469,0.091,21472,0.506,0.068,0.527,0.222,0.4642,1.8853872,20.1,0.1045677761322,0.712760297512861,0.210474012176884
"11",0.19367455272086,0.314720037319673,0.0346005822904191,0.00619768570909963,-0.0409891154227985,0.0463899934079804,-0.0375057306779051,0.0973093201604476,-0.0179426475402012,0.106214270159724,-0.0623152573166223,-0.000820616617493733,0.00964517391465401,-0.00322821629761707,0.645950078964233,0.527309058614565,0.15,0.541,0.044,22173,0.596,0.123,0.523,0.222,0.447,1.4323945,27.8,0.0882065748074211,0.574250204717146,0.210474012176884
"12",0.193674568175063,0.229279958995313,-0.0690101407906328,-0.0189307989000874,-0.0316431590949155,-0.0228245534572264,0.0450829857028603,-0.0212396037461911,-0.0173285238174785,-0.048125711530334,0.0555767951142167,0.0527896122165991,0.0304560515782566,-0.0066261528022876,0.371131360530853,0.454329510650657,0.236,0.562,0.059,39933,0.392,0.13,0.412,0.122,0.5219,2.881951,26,0.150846423896227,0.702468994318505,0.210474012176884
"13",0.19367456407293,0.388667465192482,0.0324241284738752,0.0100302491976209,0.00986562514047354,0.0289951531440287,-0.0216442595891491,0.0875520909701208,-0.00245416734373193,0.0769287428471221,0.0630063582693523,0.0805790053556286,0.0704662234226527,0.00728260309830424,1.02537381649017,0.66717985562284,0.19,0.496,0.092,20716,0.497,0.112,0.539,0.236,0.4836,1.8914903,29.1,0.106629931414503,0.559153993113924,0.210474012176884
