"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0408839054419534,0.000536046844266701,0.0344273598568216,0.0493563279704002,0.0942599470730425,0.0551328700642224,0.0307188503688235,-0.0345605339235843,0.0332320667291226,0.0312576054451368,-0.0748203711179952,0.0456772329038117,-0.0599102111382103,0.067280834818211,0.231704086065292,0.243442163132503,0.177,0.601,0.059,39426,0.399,0.04,0.389,0.094,0.4425,2.6006687,23.7,0.14237886490784,0.0391163867607232,0.5036190676485
"2",-0.0408839825578999,0.0522389214723272,0.0786176176506943,-0.196219678419678,0.0967810768186114,-0.0519145976485164,0.0185184164097578,0.134953534342923,0.0236376340712898,0.0419505892550877,0.112659483405715,-0.19060961500653,-0.11267193056919,-0.178178024487176,-0.211120530962944,0.18376686411633,0.166,0.465,0.07,25406,0.478,0.051,0.509,0.178,0.4529,1.487183,20.1,0.158120791134207,-1.55704804948183,0.5036190676485
"3",-0.0408839483992194,-0.327280374359178,0.03212436951902,-0.198683530749154,0.0724059793029077,-0.191293945520995,0.0110798161630881,0.138490282603634,0.0242165897451547,-0.0146241474896274,0.0438148373517317,-0.234339027772351,-0.00143222375647529,-0.0894325734642783,-0.775837898254395,0.0887080637630895,0.206,0.544,0.058,28849,0.418,0.048,0.387,0.149,0.4465,1.7737122,22.9,0.201929779506182,-0.583719261438203,0.5036190676485
"4",-0.0408838925937225,0.177231083061268,0.0573815765781782,0.0737663347668995,0.00977503792373671,0.047203733409005,-0.018153085516838,0.0574675108406048,-0.00841867756569976,0.0227554017232002,0.113763006569323,-0.0152225047909617,0.038192600135521,-0.0336182854997156,0.481239795684814,0.427260035409858,0.168,0.632,0.048,40105,0.329,0.052,0.421,0.09,0.452,3.1407373,29.8,0.16537665647667,0.233055365913574,0.5036190676485
"5",-0.0408838998552774,0.0228689626694928,0.0550071365441342,0.0856664517215035,0.0113771213704902,0.081371157170678,-0.0176945981494962,-0.0108159790862497,0.0240763285406661,0.0228622423143334,0.149785565803597,0.00656724895953561,0.0590963496317025,-0.030880453068331,0.418403595685959,0.247574634968689,0.171,0.629,0.049,51700,0.303,0.057,0.369,0.069,0.4764,3.1211321,35,0.191612894965945,0.581430621495957,0.5036190676485
"6",-0.0408838799273978,0.187961839283004,0.032201816574425,0.0620625240446112,0.0948518625802027,0.0764915752718299,-0.0258031991643089,0.0387419910308768,0.0246520554260431,0.01283049042157,0.0433014345231576,0.127414147327447,0.0339573364946132,-0.000513801132997642,0.667266130447388,0.502932686819489,0.149,0.604,0.061,43086,0.34,0.077,0.384,0.116,0.5025,3.2140737,28.3,0.242449550040905,0.661448207118791,0.5036190676485
"7",-0.0408839392589488,0.0346905585289691,0.0752881869722201,0.00584783133230928,0.0164507059144173,0.0726036987876195,0.0448521494123097,-0.0355580577511449,0.0205640856267203,0.00506813859443687,0.147789186636215,-0.174447249610489,0.0613925343633357,-0.0996461177515791,0.134011700749397,0.209498222931184,0.192,0.578,0.051,34834,0.397,0.054,0.385,0.138,0.4592,2.1985195,29,0.152876667485064,0.146733963816935,0.5036190676485
"8",-0.0408839347044033,-0.389525196682575,0.0808312679529776,-0.159134539856053,0.0980977703242377,-0.157127806443515,0.0195233533681683,-0.0168990194910628,0.0188477963260974,0.00441886646835131,0.168102893304428,-0.0981243879164407,-0.0294375303159749,-0.255293470635127,-0.756603956222534,0.0643214204227252,0.189,0.549,0.063,29886,0.466,0.055,0.481,0.137,0.4533,1.8362646,21.9,0.158280224483972,0.0862703857612945,0.5036190676485
"9",-0.0408839592865906,-0.213331939405344,-0.00802282203862514,-0.00457045983528591,-0.138522650411807,-0.229904580082937,0.0183135170604878,-0.0258433423499819,-0.0506424203834342,0.0278701887553136,0.0761266306048538,-0.196627003940837,-0.0243626434803808,-0.249021849271063,-1.05942332744598,0.0356422096801778,0.22,0.567,0.038,30617,0.475,0.07,0.442,0.104,0.4475,1.6503111,24.8,0.152777777777778,-1.55704804948183,0.5036190676485
"10",-0.0408839819886817,0.0527689151201135,0.077250296964279,-0.196791379231752,0.0975841473532603,-0.0511505761210303,0.0198619644605471,0.13570223394738,0.024126138063522,0.0409789752296358,0.114775054511473,-0.191696308101192,-0.112532555798077,-0.181113479722079,-0.211120530962944,0.18376686411633,0.166,0.465,0.07,25406,0.478,0.051,0.509,0.178,0.4529,1.487183,20.1,0.158120791134207,-1.55704804948183,0.5036190676485
