"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.138078833068911,-0.0359145034408013,-0.00725840047006994,0.0393036127572281,-0.0627944702384251,0.0112410498420458,0.0295614535874984,0.0448728339982203,0.0334056021318372,0.00675797469349685,0.0541363129501084,0.0530911417647225,0.0524831638771584,0.0195155996051653,0.100322514772415,0.10988659494039,0.186,0.539,0.036,28245,0.443,0.083,0.449,0.122,0.4376,2.0215278,21.7,0.156016542155816,0.424892241686937,-0.0102006729625845
"2",-0.138078850157826,0.0167303711093068,0.00357011931702401,0.00910523493078252,-0.0351955920714149,-0.0297409742241126,-0.00971418006611812,0.0314617322884948,-0.042526928907641,0.0250151250936937,0.0792715277121218,0.0206457432105554,0.017656882800519,-0.00677680793135987,-0.0585766024887562,0.281451885945021,0.15,0.673,0.038,52228,0.256,0.025,0.292,0.074,0.4638,3.2946095,31.4,0.271055855715696,0.0984680982617967,-0.0102006729625845
"3",-0.138078839173221,0.0082170734778305,0.0207011891802795,0.00446267785122791,-0.0726692687641236,-0.0125928339364334,0.00995660714114402,-0.0282580936240094,0.0738092811874768,-0.00647526301695932,-0.099588530895978,0.0391706775689862,-0.016190387339332,0.0371990079125684,-0.180336713790894,0.218432756717772,0.145,0.644,0.042,45783,0.37,0.039,0.423,0.046,0.3768,2.6374903,42.5,0.121415158757255,-0.345496002265689,-0.0102006729625845
"4",-0.13807884127346,-0.000340941435827664,0.0252798009060331,-0.000488845904620292,0.00821304570374876,0.0351429791927791,0.0119004250587353,0.0097784127097189,-0.0775723200344696,0.00457144627067757,-0.00675898765593601,0.0282417831712549,-0.00347842130158376,0.00317471980122084,-0.100415758788586,0.712139166564684,0.117,0.655,0.052,40740,0.376,0.129,0.299,0.152,0.5038,4.16304,36.4,0.597388633310612,-0.0625574297657279,-0.0102006729625845
"5",-0.138078827184247,-0.0222657853263854,0.0125287146937772,0.0304066335030432,-0.0191398807571719,0.014927795140903,0.00666283737088101,0.0556433893256623,0.0375614624008993,0.0104375205099521,0.0740057300998666,0.0445566786216337,0.0339711239795057,0.0557943638714462,0.197011724114418,0.250392184826013,0.27,0.532,0.043,35491,0.422,0.067,0.45,0.113,0.4505,2.3982956,26.4,0.097439624901465,0.17186183508002,-0.0102006729625845
"6",-0.138078831780343,-0.00865620191618333,0.00446134583243915,-0.00982932147815116,-0.133018829452317,0.0356945045058316,-0.0145861822334748,0.018351361796748,-0.101937423722942,-0.0116981984644611,-0.0803444531322328,0.013719177536468,-0.0111346958972409,0.0261877506221456,-0.410870015621185,0.109517647690207,0.164,0.645,0.033,42083,0.332,0.029,0.366,0.052,0.4003,2.5755453,36.2,0.0908017092631408,-0.108908144550921,-0.0102006729625845
"7",-0.138078844155321,-0.0365404713909702,0.0151589279137084,-0.0179732135724971,-0.091499808997078,0.0541035287335473,0.0550111828244898,-0.0104196889797755,0.0522077068063911,0.0193436927265401,-0.03804482740247,0.0550319514126321,0.0453644139016829,0.00133713157706912,-0.0349983274936676,0.0947792693052865,0.183,0.622,0.041,30511,0.47,0.035,0.454,0.109,0.4117,2.06521,22.3,0.142303567103761,0.479470890873992,-0.0102006729625845
"8",-0.138078831986186,-0.00875963843000045,0.00477503734929437,-0.0096888718277933,-0.13301759220124,0.0356538190573226,-0.014364956502374,0.0190835089725736,-0.102015580046718,-0.0114208648423765,-0.0820406129641563,0.0139912652118652,-0.010639752659717,0.0256530733001108,-0.410870015621185,0.109517647690207,0.164,0.645,0.033,42083,0.332,0.029,0.366,0.052,0.4003,2.5755453,36.2,0.0908017092631408,-0.108908144550921,-0.0102006729625845
"9",-0.138078838222046,0.0553444678107292,0.00266781804727897,-0.0297654850362884,-0.0788917658805829,0.039307561482072,0.0317385725528093,0.0329468614036747,0.0375487928235833,0.0376796575840464,-0.101540348487123,-0.0166316662363959,0.0699607873309175,0.00406767301911932,-0.0536459423601627,0.040531561461794,0.303,0.45,0.036,24851,0.561,0.061,0.459,0.099,0.3979,0.41016307,22.9,0.142614601018676,-0.326169576449691,-0.0102006729625845
"10",-0.138078824692102,0.0136780007672782,0.00644157945877313,0.0281942984242119,0.0949066344051432,0.00485428041271815,-0.00114353315167564,-0.0240783095238569,0.0234075250437273,0.00308985533673917,0.0514500045133913,-0.107544443356344,0.0243061465665673,0.0767009587570785,0.0561841428279877,0.284852761062889,0.185,0.539,0.075,30446,0.482,0.056,0.495,0.152,0.4654,1.8916187,30.6,0.135483270221615,-1.69990756383633,-0.0102006729625845
