"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.00510668531768541,0.0701513717747144,0.0383111793301403,0.00780271553605088,-0.0259644894707873,0.105367951475058,0.0243547525975979,0.0362750415545902,0.0215655825253766,-0.0102276012524522,-0.0211999379275564,-0.0292504706095825,-0.0113764959723,-0.0165285735467408,0.184174343943596,0.453315137040828,0.178,0.475,0.045,15531,0.577,0.169,0.533,0.305,0.4417,1.3975836,25.8,0.16624843161857,0.395442567977096,0.160461799199773
"2",-0.00510670470096497,0.0577669739570245,0.0297184381180834,-0.0456413010758905,-0.0436077113484712,-0.0928188439287957,-0.0453134725512593,0.0165533264613734,-0.0438524747412104,-0.00964797885576486,-0.0233363106607672,-0.015001052107402,-0.0101789647931555,0.0246476101122241,-0.205818444490433,0.208347134812852,0.152,0.614,0.037,32259,0.414,0.117,0.438,0.078,0.4221,1.8507553,27.9,0.0960986959580109,-0.138498220507685,0.160461799199773
"3",-0.00510668674064863,0.0529417400070977,0.0248109224696524,-0.0217179464776913,0.0266776072176595,0.000604378362166761,0.00824046032065487,0.0723868532262756,0.0185051609706273,-0.00632024357990084,-0.0406675302161469,0.0398788209669126,-0.00403989808578591,-0.00627717079549061,0.15991647541523,0.538719409989943,0.188,0.583,0.109,26560,0.5,0.216,0.478,0.157,0.414,0.32858697,26.8,0.133484162895928,0.286170507750345,0.160461799199773
"4",-0.00510670699642558,0.0739136483759103,-0.0171117458030431,-0.0082700900190133,-0.0396024074244241,-0.0683190268637959,0.0648780958610685,0.0647375144137065,0.0266634913341694,0.00300069283907245,-0.0273426127979149,0.0372422296884083,0.00794200101800213,-0.0234100132479989,0.0892150923609734,0.59824794854735,0.1,0.625,0.037,30673,0.558,0.198,0.467,0.092,0.4237,1.0956577,23.6,0.198523985239852,0.29275613535841,0.160461799199773
"5",-0.00510668532739882,0.0530627140690521,0.0212095286194855,-0.0117755753512307,0.00266831273707607,0.020976875225433,0.0241936695310002,-0.00159074605658864,0.0100448188122526,-0.00981883996426489,0.0237377147595734,-0.0142071640425388,0.0251140948886419,-0.00606226977840721,0.132446452975273,0.403189842496201,0.181,0.544,0.069,24752,0.494,0.118,0.489,0.208,0.4785,2.1923535,21.4,0.128851822079314,0.179481977302397,0.160461799199773
"6",-0.00510668725317798,0.0108081328420858,0.0127997444613307,0.00693371138317916,0.0173067214630079,0.0521862918862703,0.0312558872029078,-0.212117489460756,-0.0479643928825161,0.00211201380346257,-0.0400627447189004,-0.022544313364213,0.0698768014859518,-0.0329494270087183,-0.157465741038322,0.122167948451465,0.165,0.51,0.089,22241,0.571,0.047,0.554,0.23,0.4515,1.7496073,19.2,0.148247978436658,0.0510979376385516,0.160461799199773
"7",-0.00510668196159723,0.0528812382146753,-0.0506976719480806,-0.00579964397526752,0.0106732519631823,-0.0979161071237055,-0.0666264632942534,0.00386303628294535,-0.0577888893358532,-0.00584101466244784,0.026885091845801,-0.0589632548119085,0.0325859044647267,-0.0462172003301527,-0.2680684030056,0.56557413910818,0.109,0.522,0.076,29830,0.44,0.119,0.43,0.187,0.491,3.658622,21.3,0.238875462315942,-0.323177559368288,0.160461799199773
"8",-0.00510668300307883,0.0609888121939896,0.0224185735820633,0.0124741774187259,-0.00596825507464851,0.0478429636807007,-0.0496738987138192,0.00861554759191769,0.00850883507605483,-0.00741951895867246,0.0760691284443883,-0.0174900518076644,-0.0153041494731003,0.0163575391613406,0.152313023805618,0.456367527533304,0.158,0.494,0.059,21162,0.461,0.1,0.537,0.262,0.5099,1.9488392,27.8,0.106705213706101,0.297714660624881,0.160461799199773
"9",-0.0051066869104169,0.0379228894934141,-0.119045524394769,-0.0260715256506752,-0.0116889218043013,0.0569265644605873,0.0534753687882623,0.153615569663364,0.0164404433723692,-0.00108248468814915,0.00661209748729332,0.0261515679074822,0.0336231356642835,-0.0299226283301588,0.191849872469902,0.444943494639235,0.088,0.591,0.054,23533,0.536,0.337,0.487,0.153,0.4631,1.1555016,21.1,0.271178068658928,0.257462919012925,0.160461799199773
"10",-0.00510668186307768,0.0436078050418452,0.00978543543418859,0.0107159370792168,0.010346066953742,0.0325424719498165,0.0270976294296927,0.0650222231397018,0.0145083779853158,-0.00145794573924784,-0.034987891990779,0.0351514039746895,0.0855986766283926,-0.0203811696588864,0.27244234085083,0.415414311319454,0.138,0.468,0.081,21233,0.515,0.181,0.486,0.139,0.4419,1.0207518,15.8,0.152482269503546,0.283549807285664,0.160461799199773
