"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.00706003659072251,0.0403916325094966,0.00938462222208025,-0.0501207424160121,0.00434623251160822,0.0321137219661762,0.0537949068033065,0.0552123256539974,0.0279881661879054,0.0022997546118415,-0.0437799465662044,0.036512233539707,0.0525066105083586,-0.014793734223023,0.19879575073719,0.418686199641549,0.185,0.597,0.056,23696,0.544,0.147,0.534,0.192,0.4349,1.1189618,14,0.200525537855149,0.538354939321758,0.280071541889381
"2",-0.00705999921053766,0.0619321380687013,0.0110764335111662,0.0481405488561885,0.0273191461775716,0.062000246524489,0.0231506633551849,0.000366735434988842,-0.0402480532621292,0.0226307137304697,-0.0377389341363851,-0.0141298416964537,-0.00713871806239309,0.00493186591212484,0.155232921242714,0.721802816901408,0.169,0.336,0.104,15475,0.54,0.133,0.612,0.347,0.4907,1.1047131,27,0.0794839783603829,0.300822876974909,0.280071541889381
"3",-0.00706010894432947,0.00460084918907405,-0.0295229222251672,-0.0296645275901835,-0.0282048136533145,-0.165286084547277,-0.0767766681174587,-0.142353254608519,0.0234268124818356,-0.101759654276349,-0.0149298192726524,-0.00422289648524062,0.0305192511685822,0.049935843916023,-0.49129793047905,0.11695241560174,0.127,0.62,0.034,42272,0.309,0.035,0.479,0.059,0.4385,2.5523677,27.5,0.0805778491171749,-0.185139744005389,0.280071541889381
"4",-0.00706002557619152,0.0282031618079463,0.0111658770631109,-0.0161910197799366,-0.00535422986598335,0.126245169499012,0.0341676713811145,0.0517066855381451,0.0105715808085066,0.014368812188249,-0.016434241748707,-0.0269694804676933,-0.0241496859528933,0.000783740023034413,0.181054010987282,0.352855562671014,0.159,0.536,0.056,20128,0.515,0.18,0.484,0.24,0.4604,1.8785571,25.8,0.158266271353946,0.22721796533295,0.280071541889381
"5",-0.00706004744264821,-0.00168021753446937,0.00291919920800138,-0.0404951289070161,-0.00455363817332486,0.0439579484233696,-0.0140925514091986,0.0274401578869148,0.0150474592243714,-0.00400387082404205,-0.0122437745519097,-0.0133265938097789,0.021432930295551,-0.0031881386058079,0.0101537490263581,0.145117211510274,0.168,0.577,0.051,26655,0.473,0.111,0.507,0.16,0.4539,2.5169845,21.2,0.137125412746869,-0.0736552622443518,0.280071541889381
"6",-0.00706003670446796,0.0723451430652064,-0.0249878580651816,0.02936163590256,-0.0196002072557369,0.0255613997426668,-0.0245213047344163,0.00294324630957389,0.00879247252909502,0.00347889676379765,0.0155716724140341,-0.00765813880032989,-0.00849382562418349,0.0178611459567275,0.0835942476987839,0.399928404061442,0.251,0.474,0.039,25056,0.477,0.102,0.532,0.19,0.4686,1.6894418,25.7,0.121143527833669,-0.331116098154612,0.280071541889381
"7",-0.00706005236946663,0.0192937420558362,0.00300331710678375,-0.0448156500834584,-0.00188325376264692,-0.0371512643645293,0.0588644775588836,0.074795797183073,0.0218820484057323,-0.0191347375194522,-0.0259167575190564,-0.0194681528259842,-0.029161454194037,0.0276168741263153,0.0208649504929781,0.280075592660814,0.138,0.604,0.035,28579,0.524,0.159,0.483,0.102,0.4098,2.3847096,31.4,0.0903979630084401,0.0879898718234642,0.280071541889381
"8",-0.00706002755941041,0.039210302281965,-0.0853161099455544,-0.00733968929317502,0.00940874329659142,-0.0776630000058823,-0.0540384907617508,0.000265510825792625,-0.0300957666392166,0.00224130705138208,0.0346190403203592,-0.0490452117521523,0.0141987081145777,-0.0630544081485274,-0.273669093847275,0.56557413910818,0.109,0.522,0.076,29830,0.44,0.119,0.43,0.187,0.491,3.658622,21.3,0.238875462315942,-0.323652271199149,0.280071541889381
"9",-0.00706006852810125,0.0785740395685481,0.0441974823626664,-0.0230501207088607,-0.0101890790721222,0.0336753662178854,-0.0202390674677925,-0.13812999653223,0.0103453076799838,-0.00324934456625205,-0.0940111357189932,-0.0196595128652367,0.0578816803704656,0.00658776816473243,-0.0843266472220421,0.0441693753061133,0.228,0.531,0.038,26678,0.463,0.048,0.534,0.132,0.3935,2.390873,24.8,0.128337902325109,0.314672634952092,0.280071541889381
"10",-0.0070600662619166,0.0139589266346604,0.0210473032633785,-0.0465113277038614,-0.00983812789207733,-0.070208006959995,-0.0595837493716895,-0.109690077538235,-0.0181877970511314,-0.0199047399213376,0.00321553220507393,0.00385694732379826,0.0174260145421409,0.0217603646242497,-0.259718775749207,0.147094837460995,0.19,0.584,0.044,31924,0.406,0.064,0.443,0.091,0.4514,3.2412162,20.6,0.120439452324342,0.0934103819053231,0.280071541889381
