"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0810336186269929,-0.0161687460890998,0.25104456331193,0.200703910058417,0.0123843767858369,0.000516941333730227,-0.0183017717102463,-0.00181311688303387,0.00404407953660932,-0.0691917086216784,0.00548297416168491,0.0209097789843797,-0.0180276337641787,0.0439379336232356,0.334487915039062,0.403935865237199,0.13,0.672,0.042,52462,0.29,0.053,0.305,0.089,0.4672,3.0273507,29.9,0.315493136326751,0.854544581549479,0.212601226894846
"2",-0.0810336600726453,-0.0169481929750796,-0.0253326501813035,0.0791353758161881,0.0191594043506148,-0.0244792243058236,-0.0132855855882003,-0.031085077365842,0.0126723456430713,0.112443041706673,-0.00680659726321818,0.0355203475418399,0.00460704826828178,0.0107465817030022,0.0753131434321404,0.273420801427712,0.191,0.576,0.042,43759,0.309,0.04,0.301,0.077,0.4467,2.4519248,27.9,0.106185830892182,-0.0339621191896504,0.212601226894846
"3",-0.081033599084714,-0.000106470964341588,0.162453375221428,0.0816326374432426,0.0321489986958362,0.069036143811869,-0.426497871708685,0.145640849558626,0.0213713078707454,0.0254277254494733,0.0267455656375551,0.0688510662145778,0.0544558927719802,0.0143271504189925,0.194452702999115,0.460252141316412,0.135,0.581,0.062,24280,0.575,0.127,0.436,0.148,0.4212,1.5619874,19,0.203181003584229,0.302488949438841,0.212601226894846
"4",-0.0810336364289291,0.02394297691827,0.152941860846712,0.126258269739862,-0.00300100153319471,-0.0184609331972928,-0.0197906356994774,-0.0170172908620655,0.00637937013891602,-0.0556499874275863,0.00147348021795169,-0.0110304735007987,0.0158773946592703,0.0226765462034446,0.143565908074379,0.561749562924436,0.154,0.613,0.053,48178,0.348,0.051,0.337,0.087,0.4672,3.2064595,38.7,0.258639249342366,0.335262118943663,0.212601226894846
"5",-0.0810336640395993,-0.00221562100917044,-0.14160800782695,0.216678385544527,-0.00251374854699526,-0.0277681947416814,-0.0282417829733999,0.0184235525047142,0.0320838469611012,-0.010518121684526,-0.00777863166804722,-0.091260347955221,0.0152173522271582,0.0992330925667847,-0.0113019021227956,0.127489248379875,0.196,0.597,0.054,35507,0.392,0.076,0.384,0.108,0.4431,1.8163251,19.5,0.143182276834765,-0.431549309767575,0.212601226894846
"6",-0.0810336874339478,0.0121521216195822,-0.0758085349992275,-0.169344202579042,-0.0420136774951817,0.0178185560793855,0.0642968874488042,0.351307166913663,0.00643402735169145,-0.00547176572951785,0.0051093550556799,-0.122988958444789,0.0579868787073255,0.0584017245467894,0.0768459066748619,0.178976377952756,0.269,0.413,0.088,26523,0.519,0.105,0.445,0.19,0.4638,0.58704805,21.6,0.151045337091849,-0.609327378517019,0.212601226894846
"7",-0.0810336632764157,-0.00177619120338821,-0.142947525154981,0.21637573352907,-0.00150794456556709,-0.0261464420156758,-0.029054393224589,0.020079885213024,0.0292294245684525,-0.0121327298130891,-0.00898254768218481,-0.0899222124126686,0.0153901234143048,0.10112659217955,-0.0113019021227956,0.127489248379875,0.196,0.597,0.054,35507,0.392,0.076,0.384,0.108,0.4431,1.8163251,19.5,0.143182276834765,-0.431549309767575,0.212601226894846
"8",-0.0810336735045338,0.00963474013849777,-0.0743575030435677,-0.19733381388466,0.000896613556432647,0.0351836560348636,0.0509736119355395,-0.0397459424248387,-0.0261457518679829,0.0500195373928455,0.00626881571738391,-0.126576443373452,-0.0166497490227626,-0.0402851091621636,-0.449151009321213,0.267880707310636,0.254,0.4,0.078,25857,0.52,0.072,0.444,0.173,0.479,0.5392922,24.8,0.254567116759333,-0.609327378517019,0.212601226894846
"9",-0.0810336879783172,-0.00192294952172278,0.553200842109342,-0.19759776090023,0.0187322964210488,0.0569589827819482,0.0452827943120083,-0.0553050306840548,0.0300197252773914,0.0188110471623885,0.0277563523312266,-0.148952377862813,0.0735718816206142,0.0141832105465044,0.35370534658432,0.345707054318905,0.142,0.323,0.065,22134,0.502,0.044,0.389,0.135,0.4171,0.8281688,20.6,0.131654676258993,-0.609327378517019,0.212601226894846
"10",-0.0810335990252684,0.00152863996406715,0.164285328285285,0.0816552667846969,0.0324567048881472,0.0697639352009579,-0.427862416430211,0.146038175073287,0.0209754474970391,0.0244119837707069,0.0246441771874325,0.0690986312575437,0.0553061634351403,0.0131843338643117,0.194452702999115,0.460252141316412,0.135,0.581,0.062,24280,0.575,0.127,0.436,0.148,0.4212,1.5619874,19,0.203181003584229,0.302488949438841,0.212601226894846
