,FIPS,Density,Non-White,Poverty,Income,Unemployment,Uninsured,Employed,Labor,Transit,Mean Commute,Senior Citizen,Gini,Comorbidities,confirmed rate,death rate
0,11001,4.0623565,0.6342150738505203,0.162,56147.0,0.069,0.037000000000000005,0.6509999999999999,0.21299999999999997,0.5986079755192005,30.8,0.121,0.5269,0.32,3.1940456097120355,1.9133207613418894
1,34001,2.6763651,0.436049679637737,0.133,33284.0,0.084,0.081,0.59,0.466,0.19211814765251256,24.9,0.175,0.4716,0.409,3.073738810213855,1.9530213810808532
2,34003,3.6025546,0.4343866550586313,0.067,51214.0,0.04,0.075,0.634,0.275,0.2680756182797417,33.1,0.17,0.4759,0.297,3.334750407318782,2.3397627658292652
3,34005,2.7459948,0.3257086573540168,0.061,43187.0,0.057,0.043,0.615,0.317,0.13042060062824234,30.0,0.166,0.4336,0.423,3.089878217104264,2.012594801691569
4,34007,3.3594751,0.4332988645019714,0.122,35958.0,0.066,0.065,0.618,0.36099999999999993,0.1978752962327368,28.9,0.154,0.4712,0.392,3.18976506410078,2.0444583700304366
5,34009,2.5634627,0.14731538577229664,0.098,40389.0,0.068,0.06,0.531,0.414,0.1591158638468516,22.8,0.258,0.4727,0.435,3.0044738789907135,1.944086075778185
6,34011,2.4904482,0.5359037826023989,0.165,25694.0,0.073,0.094,0.515,0.5369999999999999,0.17002418740267056,23.6,0.149,0.4677,0.474,3.3157298362803274,2.0141955676474352
7,34013,3.8018713,0.6945388758417106,0.158,38722.0,0.081,0.114,0.604,0.39899999999999997,0.35187714880045873,34.9,0.134,0.5551,0.406,3.3814910284454607,2.418233911060281
8,34015,2.9570165,0.21496058935655038,0.07400000000000001,39337.0,0.055,0.043,0.636,0.337,0.1166005340691012,30.7,0.154,0.4174,0.44799999999999995,2.9870859052965497,1.8316405620456218
9,34017,4.16304,0.7121391665646837,0.152,40740.0,0.052000000000000005,0.129,0.655,0.376,0.5973886333106118,36.4,0.11699999999999999,0.5038,0.299,3.4604645862548598,2.3486789101639363
10,34019,2.4634469,0.14468487378127426,0.045,57098.0,0.038,0.026000000000000002,0.644,0.267,0.11791889824024482,35.0,0.179,0.4346,0.34600000000000003,2.949131688084959,2.0099171969215934
11,34021,3.2140737,0.502932686819489,0.11599999999999999,43086.0,0.061,0.077,0.604,0.34,0.2424495500409054,28.3,0.149,0.5025,0.384,3.328569083802399,2.218496256600624
12,34023,3.4262254,0.569385654784967,0.085,39599.0,0.052000000000000005,0.068,0.611,0.327,0.23391052523460942,34.4,0.147,0.432,0.363,3.3190481897241124,2.2306486575647035
13,34025,3.1211321,0.2475746349686886,0.069,51700.0,0.049,0.057,0.629,0.303,0.19161289496594458,35.0,0.171,0.4764,0.369,3.1948750314986385,2.13847867097779
14,34027,3.0281658,0.2861491875414235,0.048,58109.0,0.043,0.047,0.65,0.25,0.14562576344740652,31.5,0.16699999999999998,0.459,0.31,3.152270898751267,2.2266835454405123
15,34029,2.9851286,0.15332277021872354,0.10099999999999999,36100.0,0.051,0.055999999999999994,0.555,0.368,0.12228255519548281,31.2,0.22399999999999998,0.4487,0.382,3.215768400627729,2.2193072524852395
16,34031,3.4310136,0.5869942041589478,0.157,32064.0,0.045,0.125,0.614,0.45099999999999996,0.252145294570272,28.3,0.14300000000000002,0.4701,0.395,3.535556103330058,2.3900639859449355
17,34033,2.2741232,0.25746943959358626,0.124,34047.0,0.06,0.053,0.573,0.44799999999999995,0.12220949206679865,26.4,0.183,0.4536,0.461,3.120648734743716,2.1004741268253118
18,34035,3.037294,0.43706607486099236,0.051,55828.0,0.046,0.053,0.653,0.25299999999999995,0.15310370709167453,32.5,0.153,0.4565,0.33899999999999997,3.192863753954053,2.2258435366152947
19,34037,2.4326785,0.13713308312659467,0.049,44728.0,0.051,0.039,0.647,0.364,0.0986655501229099,37.8,0.16699999999999998,0.4098,0.33899999999999997,2.9480199108180822,2.145513044450818
20,34039,3.7334902,0.6049765988668545,0.095,41603.0,0.057,0.113,0.643,0.395,0.27895505364939377,31.7,0.142,0.4945,0.361,3.477987754410416,2.383563102010801
21,34041,2.4701886,0.18324800211596226,0.076,39802.0,0.059000000000000004,0.057,0.632,0.38799999999999996,0.1382393779505693,36.0,0.17600000000000002,0.4185,0.371,3.0849355936490968,2.210837611404802
22,44001,3.3029552,0.08575998687556396,0.075,46566.0,0.033,0.022000000000000002,0.616,0.301,0.13187933143090091,25.8,0.19399999999999998,0.4932,0.319,2.766976109513906,1.504351667117088
23,44003,2.9888487,0.11667856641585661,0.076,39869.0,0.04,0.034,0.648,0.353,0.10996816066617687,25.9,0.184,0.4404,0.40399999999999997,2.9041813162977506,1.7999232236435856
24,44005,2.903789,0.14232919892271834,0.087,47594.0,0.043,0.038,0.586,0.3390000000000001,0.1636788956827867,22.5,0.217,0.4805,0.349,2.649020489029697,1.03126102997647
25,44007,3.193215,0.3920850917911023,0.152,31522.0,0.059000000000000004,0.054000000000000006,0.603,0.41200000000000003,0.1800400103463744,25.0,0.15,0.4726,0.39799999999999996,3.3306444965273565,2.0983895849579794
26,44009,2.5813465,0.09082183087418694,0.086,42869.0,0.061,0.026000000000000002,0.603,0.341,0.11713867418100532,26.9,0.19899999999999998,0.4398,0.35700000000000004,2.653334900547019,1.7157088149202098
27,25001,2.732623,0.10727601453891411,0.064,44505.0,0.040999999999999995,0.033,0.57,0.39399999999999996,0.12899558775360787,23.9,0.298,0.4542,0.379,2.8330476937398306,1.8595276830901093
28,25003,2.1296933,0.11894008305319359,0.109,35616.0,0.048,0.03,0.594,0.406,0.1766093804801837,19.8,0.226,0.4621,0.384,2.6713670353896584,1.5683910730738555
29,25005,3.009405,0.1872282933211179,0.113,35747.0,0.054000000000000006,0.027999999999999997,0.62,0.408,0.1478063848750264,28.8,0.166,0.4579,0.406,3.1640097951913893,2.032153959102455
30,25009,3.204676,0.29706281677632085,0.10400000000000001,42347.0,0.049,0.03,0.642,0.369,0.20047773800787738,30.4,0.16699999999999998,0.4816,0.385,3.3066411118202854,2.1612886747995668
31,25011,2.0016127,0.09301897218640631,0.09699999999999999,35908.0,0.049,0.021,0.614,0.387,0.16087368890872578,24.9,0.21100000000000002,0.4541,0.39,2.7024239060797757,1.922438054541686
32,25013,2.878447,0.37257064447251487,0.16399999999999998,30346.0,0.057999999999999996,0.031,0.575,0.43,0.14133480018086975,22.9,0.165,0.4731,0.413,3.1696546222055613,2.1673787021807644
33,25015,2.4843621,0.16298623875999796,0.122,34838.0,0.055,0.022000000000000002,0.599,0.332,0.20825394498998484,23.6,0.166,0.4532,0.32,2.7743670827579865,1.8713942558272227
34,25017,3.2946095,0.28145188594502146,0.07400000000000001,52228.0,0.038,0.025,0.6729999999999999,0.256,0.271055855715696,31.4,0.15,0.4638,0.292,3.1573067718661436,2.081438459215136
35,25021,3.2514684,0.25090050925350893,0.063,53889.0,0.042,0.018000000000000002,0.659,0.26,0.2697734712086327,35.0,0.166,0.4766,0.32899999999999996,3.090191533955188,2.1370729614781387
36,25023,2.898397,0.19350362796257736,0.07400000000000001,43412.0,0.05,0.022000000000000002,0.64,0.37300000000000005,0.1590354172000199,33.8,0.17600000000000002,0.4539,0.39299999999999996,3.2099129236612156,2.122605208251384
37,25025,4.1399207,0.5512794923456419,0.182,42765.0,0.064,0.038,0.6509999999999999,0.332,0.5641867401733316,31.3,0.11800000000000001,0.5327,0.29,3.383558338583802,2.1084903284423264
38,25027,2.7402408,0.23616708617654336,0.10099999999999999,37574.0,0.05,0.025,0.628,0.37,0.14519772782734963,29.7,0.153,0.4551,0.39299999999999996,3.1715704325959706,2.0697375642047873
39,9001,3.1788068,0.38255859039797613,0.08900000000000001,57263.0,0.066,0.084,0.632,0.32899999999999996,0.217577083475764,31.3,0.155,0.5422,0.317,3.255846513348707,2.170355635914117
40,9003,3.0839634,0.38936233788180097,0.10800000000000001,40540.0,0.057999999999999996,0.040999999999999995,0.619,0.342,0.14309123657588607,23.5,0.168,0.4716,0.374,3.1285514534521237,2.198040031701217
41,9005,2.2920449,0.11577894748409356,0.069,44480.0,0.05,0.039,0.636,0.377,0.11172902452613986,28.7,0.20600000000000002,0.4566,0.332,2.92542633304251,1.8894423084454612
42,9007,2.643298,0.1609660662483977,0.069,46023.0,0.046,0.032,0.6409999999999999,0.321,0.12144833948339484,26.5,0.19699999999999998,0.4462,0.336,2.918886566385366,2.067211841600688
43,9009,3.1504366,0.3710905840494546,0.11699999999999999,38009.0,0.064,0.05,0.61,0.361,0.17025863088899928,25.5,0.17,0.4691,0.395,3.1703009866634426,2.108184810695074
44,9011,2.6006687,0.2434421631325031,0.094,39426.0,0.059000000000000004,0.04,0.601,0.39899999999999997,0.14237886490784035,23.7,0.177,0.4425,0.389,2.7040565565247467,1.5961644362425562
45,9013,2.565017,0.15388281710279816,0.073,41371.0,0.049,0.026000000000000002,0.62,0.344,0.13103502168505232,26.3,0.153,0.4383,0.335,2.7942638464950043,1.6446949625108216
46,9015,2.357319,0.17296638814062415,0.114,32732.0,0.055,0.040999999999999995,0.619,0.44299999999999995,0.11942466184885125,26.5,0.161,0.4217,0.42,2.7389179305373914,1.113547257477786
47,24001,2.2221653,0.13031002869340047,0.165,23607.0,0.07400000000000001,0.048,0.46799999999999997,0.47300000000000003,0.1445597156908497,21.8,0.198,0.439,0.469,2.500056978290116,1.4242668576769477
48,24003,3.1450045,0.3177541464268522,0.057999999999999996,46629.0,0.042,0.044000000000000004,0.64,0.31,0.14646504867899734,31.4,0.14400000000000002,0.4133,0.406,2.992166034605178,1.573189886810991
49,24005,3.1407373,0.42726003540985824,0.09,40105.0,0.048,0.052000000000000005,0.632,0.32899999999999996,0.16537665647667021,29.8,0.168,0.452,0.42100000000000004,3.044256088656206,1.7901034153954072
50,24009,2.6374903,0.21843275671777163,0.046,45783.0,0.042,0.039,0.644,0.37,0.12141515875725506,42.5,0.145,0.3768,0.423,2.69642815932645,1.479737976046799
51,24011,2.0194328,0.2445459771853914,0.139,29624.0,0.049,0.055999999999999994,0.615,0.473,0.13929684023141964,32.7,0.16,0.4462,0.534,3.016922896065944,0.9991489343814984
52,24013,2.5755453,0.10951764769020689,0.052000000000000005,42083.0,0.033,0.028999999999999998,0.645,0.332,0.0908017092631408,36.2,0.16399999999999998,0.4003,0.366,2.863330407547417,1.8442558750988474
53,24015,2.4727743,0.14881230985256255,0.098,34810.0,0.052000000000000005,0.040999999999999995,0.623,0.426,0.13202715578847068,29.9,0.152,0.4137,0.439,2.7177719661503175,1.465308953241613
54,24017,2.552199,0.5983955139624156,0.063,41717.0,0.035,0.038,0.642,0.36199999999999993,0.14110459613280724,45.0,0.122,0.3848,0.484,2.978476505440541,1.749178055634968
55,24019,1.771177,0.3712738813865206,0.158,30293.0,0.08,0.054000000000000006,0.569,0.447,0.18152271627135053,27.6,0.21,0.471,0.516,2.8368915144061138,1.2216683512025532
56,24021,2.5943258,0.26515579384461185,0.068,43582.0,0.042,0.045,0.672,0.324,0.1368395624636708,35.4,0.141,0.4045,0.40700000000000003,3.006992174838923,1.6742584095451822
57,24023,1.6503111,0.03564220968017784,0.10400000000000001,30617.0,0.038,0.07,0.5670000000000001,0.4749999999999999,0.1527777777777778,24.8,0.22,0.4475,0.442,1.9890274899515274,0.0
58,24025,2.7666852,0.23919007858156704,0.07200000000000001,41147.0,0.042,0.034,0.642,0.33299999999999996,0.11238449029294573,32.0,0.158,0.4128,0.44299999999999995,2.7157617240272938,1.4350340653246851
59,24027,3.113221,0.4798199808690471,0.05,54628.0,0.038,0.039,0.6809999999999999,0.21099999999999997,0.1311747441522626,31.2,0.134,0.4092,0.32799999999999996,2.953359588246449,1.4883098476810335
60,24029,1.8457599,0.22261466011466013,0.115,36813.0,0.042,0.052000000000000005,0.557,0.40399999999999997,0.2142387011847301,27.2,0.262,0.4773,0.44,3.030174718438492,2.077085822395497
61,24031,3.3285713,0.5618094352821672,0.068,54510.0,0.045,0.071,0.6779999999999999,0.27,0.2828489369772945,34.7,0.15,0.4648,0.325,3.1825513849627036,1.866990408738608
62,24033,3.2750862,0.8729615812121012,0.085,37191.0,0.06,0.10099999999999999,0.6659999999999999,0.4040000000000001,0.2979554730671683,37.3,0.129,0.3994,0.46,3.344650804529667,1.9022723249191504
63,24035,2.1320856,0.13473162475822054,0.057,44754.0,0.026000000000000002,0.048,0.637,0.33,0.1348798278129858,37.3,0.184,0.4181,0.389,2.7741355679866917,1.6688714842611414
64,24037,2.5003061,0.25908807551874613,0.081,40354.0,0.033,0.051,0.627,0.363,0.1391022328349698,31.5,0.125,0.4029,0.47700000000000004,2.808963510141415,1.6620960872205666
