"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.00642277789168428,0.0090502699228851,0.0059614385548717,0.0116383574478885,0.00313623350686328,0.0616142742489196,-0.0120920666951013,0.0361109886372099,-0.0337469901031456,-0.00496299162563251,-0.00248949385664937,-0.0118513536228242,-0.00420045562591793,0.00767990508313828,0.0594253428280354,0.227064939721239,0.185,0.522,0.031,23046,0.481,0.159,0.45,0.151,0.4348,2.214157,27.5,0.145547851722444,0.192190985533532,0.228128838658121
"2",-0.00642276216717929,0.0312118928899573,0.0124408355206449,0.0366032821120828,0.00807810631841019,0.0274157062512824,-0.0331648017921903,0.01691858945613,0.0140525467553555,0.000752797827136325,-0.0653447900339519,-0.00880789199753046,-0.00262580525312452,0.0213635536651753,0.0524712540209293,0.426087731811698,0.199,0.384,0.057,20746,0.465,0.143,0.526,0.222,0.446,1.6501132,22.4,0.106780126269558,0.471274815125864,0.228128838658121
"3",-0.00642278416304282,0.0883625675998384,-0.0250921648213206,-0.0413895916814283,-0.0130839071151894,0.0283698330146136,0.0666243294085566,0.054558090232411,0.0437130647567545,-0.00685301696797883,-0.0382856902698482,0.0374143582513622,0.0856302033800521,-0.0261589321966439,0.247386366128922,0.658983329903272,0.135,0.609,0.019,23859,0.547,0.199,0.497,0.149,0.413,1.0376104,14.3,0.182131373449701,0.438761005894094,0.228128838658121
"4",-0.00642283922431532,0.0370998228542202,-0.0236872067061377,-0.112360110289945,0.00708924872114412,-0.189192925403153,-0.0858674502304622,0.00260300581660092,-0.0273772231704803,0.128357500263594,-0.0656459995426019,-0.0111133339703868,-0.0167792808517344,-0.0546871006099913,-0.417983829975128,0.437847945263695,0.149,0.673,0.041,50029,0.248,0.077,0.329,0.093,0.4053,3.585338,31.5,0.224636510500808,-0.830671925411365,0.228128838658121
"5",-0.00642276766434919,0.190214846505549,-0.0570598412151152,0.0290184418939788,-0.0271441315525218,0.0622969210107965,0.0101408167045433,0.0172832657445179,-0.035151266030974,0.00692513849444513,0.0170968611196576,-0.00141381818940582,0.112994928430429,-0.0158549981432159,0.302924394607544,0.762305105472333,0.129,0.393,0.137,15646,0.513,0.144,0.603,0.317,0.5064,1.5561414,18.8,0.171315234907648,0.419430786886155,0.228128838658121
"6",-0.00642277843397199,0.0259291762705031,0.00385266683778858,0.00587159778632768,-0.00191502457788579,0.00741892861237197,0.0394264288007813,-0.00082015498361607,-0.0056829837761214,-0.0116251301098703,0.0172303708441159,-0.0163664481047787,-0.00876042194765075,-0.0197642995829777,0.0283719338476658,0.0667407544607026,0.189,0.525,0.054,24000,0.535,0.123,0.461,0.137,0.4437,1.9667587,26.4,0.167244367417678,-0.256192847012578,0.228128838658121
"7",-0.00642276773938185,0.19032048248204,-0.056877197632714,0.0289345306367464,-0.0253278813869851,0.0610572596907625,0.0105495546283759,0.0172409336068678,-0.0348311327021526,0.00718356177883777,0.0159995734142704,-0.000711444937472241,0.113113302346311,-0.0173043772608252,0.302924394607544,0.762305105472333,0.129,0.393,0.137,15646,0.513,0.144,0.603,0.317,0.5064,1.5561414,18.8,0.171315234907648,0.419430786886155,0.228128838658121
"8",-0.00642280115255626,0.0393095044248316,-0.0245324867439139,-0.0558011724916895,0.0193209903179291,-0.0832705549944745,-0.0331896025015587,-0.145596246019587,0.012615593065969,-0.00962514299736332,-0.00262025556944422,0.0180439214732015,0.0130822932739005,0.048202397811966,-0.210483536124229,0.507009423595618,0.142,0.601,0.062,34940,0.402,0.063,0.491,0.104,0.4341,2.3631575,29.5,0.095437209943482,-0.154714134206441,0.228128838658121
"9",-0.00642277956959972,0.0229181104096097,0.0109308765667076,0.00204900068856192,0.0143707566111111,0.0146504403462605,0.0362873208954374,0.0175614691855262,0.0167451922820133,-0.00759313802381721,-0.00461923901283858,0.0521534637565694,0.0991792841337585,-0.00406476783479936,0.264146000146866,0.283143219264892,0.214,0.528,0.077,24078,0.506,0.139,0.503,0.139,0.4485,0.7526678,15.1,0.247197640117994,0.400724814514683,0.228128838658121
"10",-0.00642277271078518,0.0159793992876503,0.00576870179064545,0.0189712853491103,-0.0028754474231739,0.0484648121039902,0.0459344259161602,-0.0712361945884834,0.0149544211761994,0.00706318701412697,0.0492361684575145,-0.0116314768093155,-0.0146866126726462,-0.0197378732658952,0.0797820240259171,0.0609776773099746,0.199,0.501,0.043,23248,0.548,0.073,0.516,0.188,0.4756,1.4398614,25.9,0.139894086496028,0.410156803143143,0.228128838658121
"11",-0.00642278458429489,0.00482340968559687,0.0314619426572345,-0.0415693613517261,-0.00726986937040407,-0.0239151554796542,-0.0347221936914634,0.100066067269928,0.0277043457672267,0.018802748720386,0.0493270420868105,0.0654881186141942,-0.0259550844087405,-0.00998860101929446,0.147830635309219,0.243311227989938,0.29,0.572,0.041,30099,0.478,0.183,0.526,0.223,0.5252,0.5399373,25.5,0.214788732394366,0.183402281607098,0.228128838658121
