"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.201550323501525,-0.0290749506335219,-0.297873577493519,-0.0265009274228908,0.0304428156421175,0.000914620053616904,-0.119791411043091,0.0161109332080756,0.0479256996467233,0.0627537841101937,0.126527071259636,-0.023106113336101,0.0311883076530032,0.023710339944071,-0.358323752880096,0.181390630763556,0.303,0.398,0.063,26109,0.516,0.06,0.516,0.16,0.4295,1.3814572,21.6,0.179980750721848,0.083857650433051,0.106725054832144
"2",-0.201550323614704,-0.0319218243191018,-0.298515433249328,-0.0264230950506501,0.032869690700463,0.000736672482761613,-0.117210353236466,0.0156337606358029,0.046094734347549,0.0638493930386323,0.125797715126995,-0.0225359670437448,0.0330532199237556,0.0217980781814946,-0.358323752880096,0.181390630763556,0.303,0.398,0.063,26109,0.516,0.06,0.516,0.16,0.4295,1.3814572,21.6,0.179980750721848,0.083857650433051,0.106725054832144
"3",-0.201550334533383,-0.0353219123407697,-0.283732121161693,-0.0268397743052813,0.0577274769652551,0.0152782261395626,-0.0807633430289298,0.0476954894994945,0.0268225102436424,0.0334283009626794,0.00909868225509979,-0.0102605335026854,0.0220263092035761,-0.0767689619481928,-0.503159999847412,0.175355840731662,0.279,0.46,0.061,27861,0.49,0.094,0.464,0.163,0.4455,1.7069697,18.8,0.20720047006036,0.523846229750213,0.106725054832144
"4",-0.201550353305267,-0.0520398430716458,0.0717422878624135,-0.0274341706493997,-0.0272868758206589,0.00711300301750815,-0.0562128138935622,0.0474442009342418,0.0475135947835985,0.0058915165523382,0.117210754890086,-0.028133535130953,-0.0139967644510669,-0.098772516902133,-0.208511516451836,0.129627081326545,0.239,0.5,0.087,26370,0.392,0.059,0.484,0.105,0.4314,-0.13697897,14.6,0.211913728175282,-0.652553213788336,0.106725054832144
"5",-0.201550333161727,-0.0649230321270964,-0.253557719166202,-0.0125844308437917,-0.0314158138902219,0.0503432256126277,-0.114004590349547,0.0399981976523956,0.0468964476756365,0.00164724723108774,0.00689244671299068,-0.0205391207379967,-0.0115350210077199,0.0458731952413392,-0.518459320068359,0.155544213346944,0.246,0.48,0.07,24241,0.489,0.076,0.51,0.184,0.4506,-0.014630143,14.5,0.157793457344452,-0.652553213788336,0.106725054832144
"6",-0.201550346147173,-0.031328019140334,-0.00136079010734287,-0.104021076052366,0.0376358438519418,-0.0260375576077319,-0.0283756322472955,-0.107217711007164,0.0098619120640411,-0.00823734491357621,-0.00302981855496053,0.0169839575500957,0.00985709596233605,0.0467959955429367,-0.390023499727249,0.221761427215307,0.205,0.547,0.055,42749,0.366,0.046,0.371,0.084,0.4556,2.0527554,30,0.135943734199207,-0.652553213788336,0.106725054832144
"7",-0.20155033216026,0.0383983124120102,0.0593760794000832,0.207445776002613,0.0463440063621974,-0.027252645263395,-0.0195816279319173,0.0646007940340943,-0.00699880280585326,-0.0139034980480962,-0.00228929175125655,0.0690250467723055,0.0141591000587285,-0.0400988293076725,0.187674060463905,0.427303786656544,0.158,0.601,0.057,41312,0.388,0.051,0.284,0.131,0.4819,2.788047,27.7,0.231310327186825,-0.330738542577072,0.106725054832144
"8",-0.20155028937306,0.18650200648628,0.217854968914388,0.00853180026064949,-0.0602134926750642,0.0346781961832311,-0.020595782769843,0.0614612805997612,0.097786530002201,0.0391893402443328,0.0796526997276225,0.0652753097574024,-0.0145156130801147,0.0302443363398415,0.52430123090744,0.714724450228964,0.113,0.557,0.077,25215,0.476,0.084,0.453,0.16,0.4375,2.0359719,31.6,0.152529576854502,0.538917850675825,0.106725054832144
"9",-0.201550311106487,0.0244629660476067,0.271740614767533,0.189239364607383,-0.0894340633775485,-0.0125300644698623,-0.0096092525861867,0.0243308707356745,0.00292360061477872,0.000393659046266374,0.0719644236072081,0.0505271402978145,0.0184865765563537,0.049296472995819,0.390241950750351,0.342716728783455,0.13,0.66,0.044,39679,0.327,0.059,0.356,0.089,0.4257,2.9193995,25.2,0.200421113677627,-0.000235504551862276,0.106725054832144
"10",-0.201550346092432,-0.0339257503190321,-0.00161060390690596,-0.103684977262794,0.0375995962747191,-0.0262617606102287,-0.0275236097271489,-0.107766248075876,0.0127158856327256,-0.00760402587857517,-0.00385829928286618,0.017319544596042,0.0125835668183402,0.0435435372783601,-0.390023499727249,0.221761427215307,0.205,0.547,0.055,42749,0.366,0.046,0.371,0.084,0.4556,2.0527554,30,0.135943734199207,-0.652553213788336,0.106725054832144
