"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0950939305874884,0.00863297523933013,-0.0308630668780411,-0.026652722910137,-0.0124522270628787,-0.0244921094982875,-0.0214881655921263,0.0209328374476464,0.0185020075012507,0.00439602997477782,-0.0105247611735243,0.00896383223305326,-0.0852343317668496,0.044353207467,-0.201020419597626,0.123114131060693,0.129,0.593,0.043,29354,0.449,0.086,0.497,0.124,0.4271,2.3368773,34.5,0.0886130273071176,-0.123402135232719,0.210269207590563
"2",-0.0950939112570818,-0.0635764971631703,0.0113889573879019,0.0260072283445427,0.0108040857997735,0.0415388310960451,0.0457065225091295,0.038732182323872,0.0289644562420777,0.0053270850806576,0.0167632692588286,0.00786795687323608,-0.00788041221428341,0.0589255275525106,0.125475272536278,0.0337412108483244,0.235,0.456,0.05,22898,0.535,0.095,0.486,0.155,0.4596,1.6047448,29.3,0.105863591756624,0.276217496846393,0.210269207590563
"3",-0.0950939053866418,0.0825612157681965,-0.0317460143222347,-0.0136997514115241,0.0080869596308861,0.0500385304752297,0.0648584548497385,0.0841950957349962,0.0239982010578501,-0.00652098878994481,0.0209936778050667,-0.0184212371503701,0.0926441984679163,0.00882299281268111,0.270717412233353,0.559286060464261,0.122,0.575,0.034,22568,0.557,0.221,0.484,0.204,0.4772,2.1114514,18.5,0.154693980877456,0.428100472146032,0.210269207590563
"4",-0.0950939065045109,0.137079952707486,-0.0881195897729591,-0.0197705606344591,0.0225034323059391,0.103719670233266,-0.035372812181827,0.231714010010989,0.0332706560866872,0.0143036338430473,0.0162360446465504,-0.0175878460646511,0.000679862021197682,0.0415079196181391,0.345070451498032,0.964694398338732,0.092,0.568,0.049,18466,0.47,0.277,0.52,0.275,0.4794,1.9154036,21.3,0.155543635085642,0.23491936608019,0.210269207590563
"5",-0.0950939153567756,0.00954981067138655,0.010899975721017,-0.0157171577373187,-0.0114358563565122,0.010684231832615,0.0432571150881077,-0.020389400027801,0.0226722216585679,0.00530813652876349,0.0137213366241926,-0.00426929564526916,-0.0219179096928554,0.0350605375020432,-0.017670176923275,0.131706166725622,0.189,0.553,0.04,26965,0.512,0.084,0.48,0.147,0.4415,1.7799935,28.8,0.110660447508957,0.138448283226075,0.210269207590563
"6",-0.0950939268485646,0.00724598801160107,0.016987633055162,-0.00844409580427311,-0.00702943756851525,-0.111445542804974,-0.0368280748802332,0.040393454019353,0.0351376901223985,0.00469178809746586,0.0273530526797737,-0.0096079391708966,0.0186535240701728,0.0303239990534743,-0.0876618847250938,0.136224120457507,0.242,0.526,0.057,33722,0.423,0.105,0.493,0.107,0.4616,2.1362922,23.4,0.127820776591228,-0.646908709013898,0.210269207590563
"7",-0.0950939336262348,-0.00770686928524925,0.0138988894852103,-0.0267094581517347,-0.0139322357156863,-0.0246613170243307,-0.0493103342874864,0.0379505388802268,0.0310996987864776,0.00522925794575026,-0.0509717010060722,0.00659537597735327,0.100780814709525,0.0151192013250806,-0.0577120631933212,0.184250628352035,0.17,0.594,0.039,30711,0.398,0.084,0.49,0.124,0.4104,2.3897624,19.6,0.147504345666749,-0.41234348873518,0.210269207590563
"8",-0.0950939301944556,0.0224480354920351,-0.0202108672941079,-0.0275337664931112,-0.00434305567509426,0.0598859825592684,-0.0409591354967834,0.0261359340171889,-0.043138958339883,0.0041329834750779,-0.0691760092421191,0.0129267686267299,-0.0573205727108962,0.0355954545583599,-0.196651130914688,0.286551632464458,0.123,0.615,0.05,25266,0.448,0.144,0.439,0.126,0.3931,2.713408,34.7,0.131026025344052,-0.186445723289454,0.210269207590563
"9",-0.0950939039922855,0.0367051272754226,0.0143040171370498,0.0112846416967978,0.00873598682284169,0.0554308218221407,0.0537752425696789,0.0210568469221295,0.0189877062124679,0.010869845732348,0.00753651137174536,0.00629987359504667,-0.0487661724170792,0.00339272772173607,0.104519255459309,0.321262458471761,0.219,0.524,0.06,22018,0.542,0.129,0.519,0.237,0.4677,1.3978525,32.8,0.152369281045752,-0.0419416952725666,0.210269207590563
"10",-0.0950939451917529,0.00733458390899766,0.0206741709581174,-0.0196501166580765,-0.0295455158054165,-0.140964497419088,-0.0627001064927341,-0.0128717322513723,-0.0223225723764727,-0.0307493989624921,0.0275242800875257,-0.0198113626712448,-0.0520043289135274,0.036056401830041,-0.394124120473862,0.218282319320147,0.194,0.579,0.024,39633,0.361,0.068,0.436,0.055,0.4488,1.9776257,32.9,0.120952228278294,-0.893033208176661,0.210269207590563
