"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0434954463821087,0.00585550500021767,-0.0203908195101601,0.15422531027245,0.0387493870960969,0.0442794065596369,-0.123925390476729,0.0462651443451172,-0.0107950479143419,0.0118220397750354,-0.00639690939524069,-0.0728486172645613,0.00435581745287192,0.0854922795564728,0.113192662596703,0.407413960895338,0.156,0.572,0.05,23682,0.61,0.095,0.476,0.145,0.3983,0.756961,20.1,0.166211388947258,0.384971786872337,0.260216375948958
"2",-0.0434954442671835,-0.0333177933097522,-0.158389654341449,-0.136697407291831,0.0311301090894079,-0.0116537571458951,-0.0155308535942283,-0.0392127988793233,-0.0209372963773615,-0.0173038942592444,-0.00669662140584705,-0.0560999930345494,0.00724622030185276,0.0288672670414697,-0.472091913223267,0.190644636815046,0.275,0.444,0.064,33456,0.456,0.044,0.395,0.114,0.4414,1.6532602,38.3,0.134519572953737,-0.598133789911131,0.260216375948958
"3",-0.0434954538668285,-0.00150220668559497,-0.15469015438748,-0.122526997125953,0.0450337231690189,0.0469150938996675,-0.0201598757361554,0.0608096374470448,-0.0186615221725108,0.00726014703322206,-0.00866847217065902,0.0414708885428334,0.000449181654597286,-0.0315376141655447,-0.199303612112999,0.175355840731662,0.279,0.46,0.061,27861,0.49,0.094,0.464,0.163,0.4455,1.7069697,18.8,0.20720047006036,0.578265653627418,0.260216375948958
"4",-0.0434954147203276,0.118730648460473,0.192543269203536,0.191832918539362,0.00953640076694885,0.0620693872140904,0.0119334854069409,-0.0173645449050373,0.0562703638631534,0.0106870186062431,0.00437114429689033,0.078929595809421,-0.0387228405869662,0.0705837708328646,0.707905173301697,0.552767926074069,0.137,0.586,0.065,32751,0.38,0.055,0.37,0.147,0.4538,3.2062685,27.8,0.165749147707507,0.238391785880884,0.260216375948958
"5",-0.0434954419313209,-0.0313571199385091,-0.0280238770741888,-0.132430421961078,-0.0286414668706428,-0.0383009021753478,0.0466711169976813,-0.0135771393602047,-0.0189280249342894,-0.0330528167518985,-0.0718668121072422,-0.075609929150753,-0.00748136524971789,0.0544898045783944,-0.42160439491272,0.316575916885718,0.193,0.488,0.086,24301,0.528,0.063,0.468,0.221,0.4656,1.3437793,23.4,0.141077974008664,-0.193903042990286,0.260216375948958
"6",-0.0434953852812933,0.0742720369373874,-0.105633200336401,0.0741786587214211,-0.00518023743211613,-0.0757666472435271,0.00977101937024507,-0.00855092854488149,0.0355022270150094,0.080945658569012,-0.0198655286783057,0.0550129450737036,-0.0679268594695159,0.00758307623072539,0.0108467796817422,0.475659454387887,0.186,0.622,0.045,45195,0.428,0.059,0.347,0.078,0.4712,2.2650197,25.6,0.183540830179959,0.0674399010025211,0.260216375948958
"7",-0.0434954526187524,-0.0714442825554724,0.000649713384101431,-0.114133424192359,-0.00312444408820553,0.0481402509078025,-0.0289246088057808,0.0121137250660359,0.0738757719107855,0.0249680128511812,-0.0323954706606223,-0.0580030933211262,-0.00207968136931397,0.0460404144700995,-0.147812560200691,0.13398275669018,0.225,0.463,0.053,26896,0.504,0.07,0.378,0.142,0.4423,1.2661394,29.3,0.139786910197869,-0.0947404042285265,0.260216375948958
"8",-0.0434954137157202,0.12061439915895,0.191986919829624,0.191724467240557,0.0119117560772847,0.0631673329022424,0.0117970005223053,-0.0193796768859134,0.0542965640695647,0.0123383878392991,0.00446941230658167,0.0787434157132214,-0.040632603241603,0.0703632409531658,0.707905173301697,0.552767926074069,0.137,0.586,0.065,32751,0.38,0.055,0.37,0.147,0.4538,3.2062685,27.8,0.165749147707507,0.238391785880884,0.260216375948958
"9",-0.0434954392090583,-0.0222877548212219,0.0640259250587716,0.201150800567891,0.0320911476240331,0.101489555311566,0.000691192600236049,-0.00702048997806658,-0.018400797339516,0.0121896055856835,0.0686514195965056,0.10814463960942,-0.0195975859972625,0.0437632293163287,0.521395444869995,0.345326388745764,0.153,0.581,0.055,27338,0.469,0.08,0.44,0.142,0.4265,2.4692643,24.2,0.179230395322977,0.634871827456598,0.260216375948958
"10",-0.0434954138222388,0.120538738511932,0.191464624020125,0.191309920296704,0.01069990703497,0.062978863458155,0.0143727764434981,-0.0178078533631508,0.054090295469524,0.00914216123179995,0.00610323657317399,0.0785013646709906,-0.0401094816117267,0.070116064015933,0.707905173301697,0.552767926074069,0.137,0.586,0.065,32751,0.38,0.055,0.37,0.147,0.4538,3.2062685,27.8,0.165749147707507,0.238391785880884,0.260216375948958
"11",-0.0434954539484397,-0.0375531989376823,0.0161590581633091,0.136425304355115,0.0241495773583057,0.0745962029889438,0.00909400535184599,0.0188824332333221,0.0943803131399188,0.0038517956669182,-0.017807116939988,-0.0952064060951186,0.0016854879561411,-0.0801783620931972,0.104983650147915,0.159182517375863,0.157,0.576,0.056,29161,0.434,0.062,0.328,0.18,0.4535,1.3194333,20.8,0.217152533064848,-0.598133789911131,0.260216375948958
"12",-0.0434954371856346,-0.0402799140690962,-0.150373152716025,-0.118079240978855,-0.0446370746560723,0.0185375860949171,-0.0209644515623925,-0.0087453672978886,-0.023512114590936,-0.00746045098048497,-0.0575075979048892,-0.0995553526034506,0.022294903067149,0.0383194021071835,-0.535458266735077,0.238957393944971,0.247,0.463,0.071,28615,0.464,0.059,0.408,0.188,0.4772,0.841004,18.4,0.1504682751349,-0.598133789911131,0.260216375948958
"13",-0.0434954025365056,0.17143035368521,0.137259785569844,0.173564455788827,0.00480081583998696,0.0409626462627932,-0.0190802371425379,-0.0180724849250187,0.0781340777636285,0.0480426962923444,0.0132034703145135,-0.216596268140026,0.00796361754376657,0.0853955883762557,0.463513076305389,0.657098847224063,0.125,0.631,0.069,33174,0.498,0.075,0.365,0.084,0.4054,1.6554216,35.7,0.160241048773611,0.0234898269560776,0.260216375948958
"14",-0.0434954387265212,-0.021770733410413,0.0646571424932154,0.200686183565315,0.0316900783350661,0.0975920537463825,0.00176107312955641,-0.00726317622884214,-0.0178151997056234,0.0125039413809943,0.0704296851489607,0.108251389595051,-0.0196132304317418,0.0437816791444764,0.521395444869995,0.345326388745764,0.153,0.581,0.055,27338,0.469,0.08,0.44,0.142,0.4265,2.4692643,24.2,0.179230395322977,0.634871827456598,0.260216375948958
"15",-0.043495452322095,-0.0708532531460083,-0.00214669921729303,-0.112919797381004,-0.00181309182304576,0.046597734960679,-0.0286843482846555,0.013194538736725,0.0739146168489156,0.024051452454109,-0.0321091233265894,-0.0576275115810433,-0.00425231608484598,0.0483306811396147,-0.147812560200691,0.13398275669018,0.225,0.463,0.053,26896,0.504,0.07,0.378,0.142,0.4423,1.2661394,29.3,0.139786910197869,-0.0947404042285265,0.260216375948958
"16",-0.0434954421479057,-0.0322683380544795,-0.0281115475352231,-0.133842371394321,-0.0282271253969056,-0.0379291936363326,0.0464299573558819,-0.0124186675126527,-0.0179225148924505,-0.0325192976587512,-0.0732860175371745,-0.0771294689498315,-0.00623703134013953,0.0553526629807251,-0.42160439491272,0.316575916885718,0.193,0.488,0.086,24301,0.528,0.063,0.468,0.221,0.4656,1.3437793,23.4,0.141077974008664,-0.193903042990286,0.260216375948958
"17",-0.0434954319620218,-0.125315273289904,-0.170392062625849,-0.0770836933854144,-0.0136379963889583,-0.0474405174919947,-0.0108063129077119,0.0233425745241126,0.0547376671180106,-0.0370743195118338,-0.0426695836927238,0.031329858879563,-0.00959199893114026,0.0348442834709598,-0.433252811431885,0.148432147031559,0.265,0.522,0.046,39233,0.366,0.065,0.364,0.11,0.4697,2.0176778,25.5,0.136667676602885,-0.296570804070594,0.260216375948958
"18",-0.0434954377541795,-0.0101634618864872,-0.0183776255537331,-0.0282774206349736,0.0103700506498373,0.0129296176867661,-0.00953626679897025,-0.039590471567673,0.0636938246588688,0.0592476029519679,0.0237814027698346,0.0905763194450612,0.0222371382521555,0.0259219128887608,0.159317180514336,0.221761427215307,0.205,0.547,0.055,42749,0.366,0.046,0.371,0.084,0.4556,2.0527554,30,0.135943734199207,-0.598133789911131,0.260216375948958
"19",-0.043495447349481,-0.0797617325958955,-0.163844757131814,-0.0972290511999024,-0.0311599982094025,0.0239948175027282,-0.0265265280287125,0.00771541901990947,-0.0151398828651256,0.0174608006838397,-0.027988562559909,-0.0234921636770852,0.00451567342723927,0.0355245486312005,-0.41942685842514,0.147442137989511,0.255,0.469,0.076,27582,0.494,0.069,0.5,0.161,0.4612,1.60642,19.1,0.161236253628224,-0.598133789911131,0.260216375948958
"20",-0.0434954430874587,-0.032566893529286,-0.0267780361180427,-0.131357445769736,-0.0287893312093753,-0.0372417791310364,0.0471934194097904,-0.0129075472523353,-0.0204988456247385,-0.0321276290756386,-0.074371382398501,-0.0754820093441545,-0.00753056253838224,0.0543490895384876,-0.42160439491272,0.316575916885718,0.193,0.488,0.086,24301,0.528,0.063,0.468,0.221,0.4656,1.3437793,23.4,0.141077974008664,-0.193903042990286,0.260216375948958
