"","dt.none","dt.Non.White","dt.Senior.Citizen","dt.Employed","dt.Unemployment","dt.Income","dt.Labor","dt.Uninsured","dt.Comorbidities","dt.Poverty","dt.Gini","dt.Density","dt.Mean.Commute","dt.Transit","p","x_test.Non.White","x_test.Senior.Citizen","x_test.Employed","x_test.Unemployment","x_test.Income","x_test.Labor","x_test.Uninsured","x_test.Comorbidities","x_test.Poverty","x_test.Gini","x_test.Density","x_test.Mean.Commute","x_test.Transit","y_select","rsq"
"1",-0.0877927267698676,-0.0169465098755472,0.085203952102313,0.000738646974844137,-0.00340213421853311,0.0123321894199919,0.00103837110712705,0.00511251949313873,0.0299095852757383,0.00569019876787204,0.00499977710797485,0.0266908072258825,-0.061153634232828,0.00505414186424559,0.00747518707066774,0.297062816776321,0.167,0.642,0.049,42347,0.369,0.03,0.385,0.104,0.4816,3.204676,30.4,0.200477738007877,0.245943355491907,-0.0825910829842511
"2",-0.0877927185134518,0.000624299265609654,0.0105775894776682,0.0179436362513481,0.0246532395240701,0.0412861270927659,0.0618381824643619,-0.0308556696547237,0.0717381449947955,0.00697228327652854,0.112001586481563,0.0783888942982506,-0.00694933415050429,0.000283177739298032,0.300709426403046,0.0887080637630895,0.206,0.544,0.058,28849,0.418,0.048,0.387,0.149,0.4465,1.7737122,22.9,0.201929779506182,-0.266297873508627,-0.0825910829842511
"3",-0.0877927128408871,-0.0269271788593451,-0.00642695296526578,0.0162613074076058,0.0232861613475401,-0.0286001507700867,0.0930009095894134,-0.022329221945623,0.101535008100585,-0.0536600123033341,0.0666168226127618,0.00167723069792523,-0.0322928088886007,0.0196188218954786,0.0639672055840492,0.147315385772297,0.258,0.531,0.068,40389,0.414,0.06,0.435,0.098,0.4727,2.5634627,22.8,0.159115863846852,0.181072713252655,-0.0825910829842511
"4",-0.0877927106274721,-0.00553111672782928,0.0133256484258207,0.00034212158609189,-0.0133915604810817,0.0463922126896323,-0.00840422188411299,-0.00325041032748326,-0.0571236124881801,0.0225538714513158,0.0671550033559034,0.00491745336751087,-0.124159615769192,0.00385223658279085,-0.141114711761475,0.278289593703578,0.165,0.625,0.045,37635,0.311,0.031,0.36,0.119,0.46,2.7666602,20.9,0.207676673019572,-0.0826999193093509,-0.0825910829842511
"5",-0.0877927181214081,0.0523976129169889,-0.0386519434136054,-0.00256906471275847,0.00448219953083016,0.0268710184954668,-0.0099329451489754,0.102422638203056,0.0346123340980386,-0.00611407472552095,0.0863807297471422,-0.0188254400830195,0.0780932177599457,0.00297011514760218,0.224343672394753,0.0930189721864063,0.211,0.614,0.049,35908,0.387,0.021,0.39,0.097,0.4541,2.0016127,24.9,0.160873688908726,0.00666657131618376,-0.0825910829842511
"6",-0.0877927347539574,-0.0229898120611019,0.12076300040551,0.0174677511446873,-0.0149183222769977,-0.071362012700074,0.00794083689834352,-0.0208034906159776,-0.0120081351358655,-0.00488164199464804,0.0298419494910076,0.0165807543794177,-0.0389621524487896,-0.00678022912590211,-0.08790422976017,0.40016395025761,0.175,0.626,0.039,51422,0.302,0.044,0.341,0.056,0.4578,3.6782703,36.6,0.275437988935951,-0.31215753281541,-0.0825910829842511
"7",-0.0877927113416739,-0.0200363550609062,0.0773515316224895,0.027809442227535,-0.00517812841992155,-0.00498739595621132,-0.00575794224481782,-0.011572458954996,0.0254699245506277,0.00389430578900826,0.0384155608812783,0.0202246761755589,-0.155520532391715,-0.00560287898458163,-0.10328297317028,0.389860452775678,0.159,0.56,0.046,36907,0.369,0.043,0.395,0.117,0.4551,3.9179163,45.2,0.410439880476012,0.0799258217552576,-0.0825910829842511
"8",-0.0877927314123247,-0.0112162995675212,0.0861482275378723,0.0196155088100854,0.00230495479569883,-0.0747770304774214,0.00746321982978363,-0.0376560705320453,-0.0130830215377509,0.00968829417402265,0.011357399167905,0.0227700526178999,-0.0280056346866721,0.00435258657679052,-0.0888305380940437,0.247574634968689,0.171,0.629,0.049,51700,0.303,0.057,0.369,0.069,0.4764,3.1211321,35,0.191612894965945,-0.00478461937296148,-0.0825910829842511
"9",-0.0877927437179424,-0.0922205209622507,0.095887095296332,-0.0063188950198643,0.0136146993778766,0.0566588691794167,0.00571905400049177,-0.00448059380914481,0.0340763349151615,0.00191829041961221,-0.0631881396904947,0.0325330277376885,-0.0362205446237342,-0.00111288098202639,-0.050926934927702,0.872961581212101,0.129,0.666,0.06,37191,0.404,0.101,0.46,0.085,0.3994,3.2750862,37.3,0.297955473067168,-0.0143399041029111,-0.0825910829842511
"10",-0.0877927146743881,0.0379268228637012,0.00174041720628788,0.00164687516716131,-0.0254061594516394,0.0255753903891162,0.00138948069463707,-0.0505578398204344,0.0333339729465622,-0.0147309688130525,0.0926840720011849,-0.00392707285698256,0.0523943179626618,0.00853433404812505,0.0728109180927277,0.101606231337491,0.194,0.61,0.035,36835,0.353,0.033,0.388,0.087,0.4511,2.231592,23.3,0.122427069450615,-0.098163719870497,-0.0825910829842511
"11",-0.0877927439885933,-0.0230872314051123,0.0931698285115082,0.0116831266072817,-0.016141506561966,-0.0480231215992588,0.0216679467281013,-0.0495357674616363,0.000739595317286916,-0.00443569161409162,-0.0376137967984043,0.0155932171781922,-0.00948410131874408,0.0193739453208115,-0.113886289298534,0.479819980869047,0.134,0.681,0.038,54628,0.211,0.039,0.328,0.05,0.4092,3.113221,31.2,0.131174744152263,-0.241179982350987,-0.0825910829842511
